learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,NeuCMF0w,0.001,1000,4.1125,4.2185,0.4963,10,128
1e-06,adam,NeuCMF0w,0.1,500,4.0996,4.2059,0.4872,10,128
1e-06,adam,NeuCMF0w,0.1,1000,4.1205,4.2264,0.4764,10,128
1e-06,adam,NeuCMF0w,0.001,500,4.081,4.1878,0.5213,10,512
1e-06,adam,NeuCMF0w,0.001,1000,4.1085,4.2146,0.527,10,512
1e-06,adam,NeuCMF0w,0.1,500,4.1229,4.2287,0.4968,10,512
1e-06,adam,NeuCMF0w,0.1,1000,4.1043,4.2106,0.5102,10,512
1e-06,RMSprop,NeuCMFii,0.001,500,4.1283,4.2339,0.4573,10,32
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1152,4.2212,0.455,10,32
1e-06,RMSprop,NeuCMFii,0.1,500,4.1149,4.2209,0.4579,10,32
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1287,4.2344,0.4614,10,32
1e-06,RMSprop,NeuCMFii,0.001,500,4.1114,4.2174,0.467,10,128
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1101,4.2161,0.4607,10,128
1e-06,RMSprop,NeuCMFii,0.1,500,4.1066,4.2127,0.5009,10,128
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1123,4.2183,0.4551,10,128
1e-06,RMSprop,NeuCMFii,0.001,500,4.117,4.2229,0.5015,10,512
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1156,4.2216,0.4694,10,512
1e-06,RMSprop,NeuCMFii,0.1,500,4.125,4.2307,0.4955,10,512
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1088,4.215,0.5012,10,512
1e-06,RMSprop,NeuCMFww,0.001,500,4.1197,4.2255,0.5155,10,32
1e-06,RMSprop,NeuCMFww,0.001,1000,4.12,4.2259,0.5171,10,32
1e-06,RMSprop,NeuCMFww,0.1,500,4.1194,4.2252,0.5088,10,32
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1045,4.2108,0.4987,10,32
1e-06,RMSprop,NeuCMFww,0.001,500,4.1234,4.2291,0.4775,10,128
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1176,4.2235,0.527,10,128
1e-06,RMSprop,NeuCMFww,0.1,500,4.1158,4.2217,0.4961,10,128
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1028,4.2091,0.5088,10,128
1e-06,RMSprop,NeuCMFww,0.001,500,4.1124,4.2184,0.5232,10,512
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1076,4.2137,0.4874,10,512
1e-06,RMSprop,NeuCMFww,0.1,500,4.1178,4.2237,0.4636,10,512
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1271,4.2328,0.5013,10,512
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1254,4.2311,0.4752,10,32
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1256,4.2313,0.4754,10,32
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1378,4.2432,0.4784,10,32
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1383,4.2436,0.4968,10,32
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1219,4.2277,0.5284,10,128
