learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
0.001,adam,DeepFM,0.1,1000,0.6691,0.8299,0.544,10,512
0.001,RMSprop,FM,0.001,500,0.4776,0.6299,0.5568,10,32
0.001,RMSprop,FM,0.001,1000,0.4812,0.6333,0.5571,10,32
0.001,RMSprop,FM,0.1,500,0.67,0.8306,0.5418,10,32
0.001,RMSprop,FM,0.1,1000,0.6688,0.8288,0.5418,10,32
0.001,RMSprop,FM,0.001,500,0.4678,0.6151,0.5547,10,128
0.001,RMSprop,FM,0.001,1000,0.4694,0.6175,0.5541,10,128
0.001,RMSprop,FM,0.1,500,0.6704,0.8315,0.5449,10,128
0.001,RMSprop,FM,0.1,1000,0.6692,0.8301,0.5426,10,128
0.001,RMSprop,FM,0.001,500,0.4708,0.6189,0.5539,10,512
0.001,RMSprop,FM,0.001,1000,0.471,0.6182,0.5529,10,512
0.001,RMSprop,FM,0.1,500,0.671,0.8335,0.5403,10,512
0.001,RMSprop,FM,0.1,1000,0.6693,0.8298,0.5422,10,512
0.001,RMSprop,DeepFM,0.001,500,0.4748,0.6361,0.5615,10,32
0.001,RMSprop,DeepFM,0.001,1000,0.4837,0.6465,0.5607,10,32
0.001,RMSprop,DeepFM,0.1,500,0.6708,0.8313,0.5404,10,32
0.001,RMSprop,DeepFM,0.1,1000,0.6697,0.831,0.5438,10,32
0.001,RMSprop,DeepFM,0.001,500,0.4724,0.6305,0.5612,10,128
0.001,RMSprop,DeepFM,0.001,1000,0.4844,0.6439,0.5605,10,128
0.001,RMSprop,DeepFM,0.1,500,0.671,0.8328,0.5426,10,128
0.001,RMSprop,DeepFM,0.1,1000,0.6699,0.8313,0.5419,10,128
0.001,RMSprop,DeepFM,0.001,500,0.4729,0.6271,0.5579,10,512
0.001,RMSprop,DeepFM,0.001,1000,0.4722,0.6277,0.5575,10,512
0.001,RMSprop,DeepFM,0.1,500,0.6718,0.8326,0.5442,10,512
0.001,RMSprop,DeepFM,0.1,1000,0.6698,0.8307,0.5423,10,512
0.1,adam,FM,0.001,500,1.1256,1.8268,0.4952,10,32
0.1,adam,FM,0.001,1000,1.0129,1.3945,0.5038,10,32
0.1,adam,FM,0.1,500,0.6863,0.8515,0.5366,10,32
0.1,adam,FM,0.1,1000,0.6729,0.8385,0.5403,10,32
0.1,adam,FM,0.001,500,1.5289,2.8017,0.5154,10,128
0.1,adam,FM,0.001,1000,1.2561,1.7148,0.4981,10,128
0.1,adam,FM,0.1,500,0.6816,0.8462,0.5394,10,128
0.1,adam,FM,0.1,1000,0.6758,0.8355,0.5362,10,128
0.1,adam,FM,0.001,500,5.5599,8.01,0.5013,10,512
0.1,adam,FM,0.001,1000,3.4959,5.7239,0.5042,10,512
0.1,adam,FM,0.1,500,0.7625,0.9923,0.5379,10,512
0.1,adam,FM,0.1,1000,0.6963,0.9579,0.5452,10,512
0.1,adam,DeepFM,0.001,500,1.2092,1.6395,0.5021,10,32
0.1,adam,DeepFM,0.001,1000,1.1036,1.4656,0.5072,10,32
0.1,adam,DeepFM,0.1,500,0.6862,0.8517,0.5389,10,32
0.1,adam,DeepFM,0.1,1000,0.7212,0.9144,0.5363,10,32
0.1,adam,DeepFM,0.001,500,1.6009,2.878,0.5016,10,128
0.1,adam,DeepFM,0.001,1000,1.5337,2.1456,0.5167,10,128
0.1,adam,DeepFM,0.1,500,1.0456,1.2427,0.5244,10,128
0.1,adam,DeepFM,0.1,1000,0.7346,0.9358,0.5331,10,128
0.1,adam,DeepFM,0.001,500,4.3867,6.7224,0.4953,10,512
0.1,adam,DeepFM,0.001,1000,2.9632,3.2961,0.5202,10,512
0.1,adam,DeepFM,0.1,500,0.9074,1.1399,0.5421,10,512
0.1,adam,DeepFM,0.1,1000,0.7319,0.945,0.5403,10,512
0.1,RMSprop,FM,0.001,500,1.223,1.5349,0.5137,10,32
0.1,RMSprop,FM,0.001,1000,1.3174,1.6092,0.5124,10,32
0.1,RMSprop,FM,0.1,500,0.885,1.1917,0.5188,10,32
0.1,RMSprop,FM,0.1,1000,0.9922,1.3418,0.5036,10,32
0.1,RMSprop,FM,0.001,500,2.4707,3.0349,0.4933,10,128
0.1,RMSprop,FM,0.001,1000,2.817,3.4734,0.5043,10,128
0.1,RMSprop,FM,0.1,500,1.0738,1.4249,0.5093,10,128
0.1,RMSprop,FM,0.1,1000,1.4906,1.8006,0.5006,10,128
0.1,RMSprop,FM,0.001,500,11.719,16.4029,0.4603,10,512
0.1,RMSprop,FM,0.001,1000,10.057,14.9274,0.483,10,512
0.1,RMSprop,FM,0.1,500,1.853,2.2018,0.5084,10,512
0.1,RMSprop,FM,0.1,1000,4.5239,4.8237,0.5056,10,512
0.1,RMSprop,DeepFM,0.001,500,3.0164,4.027,0.512,10,32
0.1,RMSprop,DeepFM,0.001,1000,3.5605,4.8575,0.5247,10,32
0.1,RMSprop,DeepFM,0.1,500,1.8665,2.468,0.4969,10,32
0.1,RMSprop,DeepFM,0.1,1000,3.1345,5.9306,0.5181,10,32
0.1,RMSprop,DeepFM,0.001,500,15.2688,20.8807,0.5142,10,128
0.1,RMSprop,DeepFM,0.001,1000,22.3126,33.5426,0.5138,10,128
0.1,RMSprop,DeepFM,0.1,500,4.4007,7.8117,0.5074,10,128
0.1,RMSprop,DeepFM,0.1,1000,10.3482,48.4179,0.5027,10,128
0.1,RMSprop,DeepFM,0.001,500,77.2195,116.3753,0.5099,10,512
0.1,RMSprop,DeepFM,0.001,1000,127.6607,233.1796,0.5127,10,512
0.1,RMSprop,DeepFM,0.1,500,8.3655,14.1671,0.501,10,512
0.1,RMSprop,DeepFM,0.1,1000,33.2682,122.9877,0.5131,10,512
1e-05,adam,FM,0.001,500,0.7403,0.911,0.5855,10,32
1e-05,adam,FM,0.001,1000,0.8728,1.1193,0.5764,10,32
1e-05,adam,FM,0.1,500,0.7837,0.9593,0.5576,10,32
1e-05,adam,FM,0.1,1000,0.89,1.1492,0.552,10,32
1e-05,adam,FM,0.001,500,0.6347,0.7923,0.5748,10,128
1e-05,adam,FM,0.001,1000,0.7356,0.9064,0.5827,10,128
1e-05,adam,FM,0.1,500,0.6858,0.8537,0.5537,10,128
1e-05,adam,FM,0.1,1000,0.7926,0.9719,0.5513,10,128
1e-05,adam,FM,0.001,500,0.5952,0.7365,0.5641,10,512
1e-05,adam,FM,0.001,1000,0.6253,0.78,0.5725,10,512
1e-05,adam,FM,0.1,500,0.6768,0.8364,0.5439,10,512
1e-05,adam,FM,0.1,1000,0.6898,0.8578,0.5507,10,512
1e-05,adam,DeepFM,0.001,500,0.6523,0.8207,0.5769,10,32
1e-05,adam,DeepFM,0.001,1000,0.7879,0.9629,0.5768,10,32
1e-05,adam,DeepFM,0.1,500,0.7527,0.9163,0.5588,10,32
1e-05,adam,DeepFM,0.1,1000,0.8697,1.0991,0.5428,10,32
1e-05,adam,DeepFM,0.001,500,0.5921,0.7428,0.5698,10,128
1e-05,adam,DeepFM,0.001,1000,0.6558,0.8309,0.5806,10,128
1e-05,adam,DeepFM,0.1,500,0.6864,0.858,0.5525,10,128
1e-05,adam,DeepFM,0.1,1000,0.7801,0.9497,0.5505,10,128
1e-05,adam,DeepFM,0.001,500,0.507,0.6606,0.5641,10,512
1e-05,adam,DeepFM,0.001,1000,0.6056,0.7554,0.5693,10,512
1e-05,adam,DeepFM,0.1,500,0.6768,0.8372,0.5436,10,512
1e-05,adam,DeepFM,0.1,1000,0.6894,0.8594,0.5503,10,512
1e-05,RMSprop,FM,0.001,500,0.7722,0.9486,0.5821,10,32
1e-05,RMSprop,FM,0.001,1000,0.878,1.1289,0.5731,10,32
1e-05,RMSprop,FM,0.1,500,0.8048,0.9897,0.5578,10,32
1e-05,RMSprop,FM,0.1,1000,0.8935,1.1561,0.5492,10,32
1e-05,RMSprop,FM,0.001,500,0.6442,0.8012,0.5724,10,128
1e-05,RMSprop,FM,0.001,1000,0.7409,0.9117,0.5827,10,128
1e-05,RMSprop,FM,0.1,500,0.6841,0.851,0.553,10,128
1e-05,RMSprop,FM,0.1,1000,0.7942,0.9742,0.5523,10,128
1e-05,RMSprop,FM,0.001,500,0.5966,0.738,0.5628,10,512
1e-05,RMSprop,FM,0.001,1000,0.6254,0.7754,0.568,10,512
1e-05,RMSprop,FM,0.1,500,0.6743,0.8329,0.5412,10,512
1e-05,RMSprop,FM,0.1,1000,0.6847,0.8499,0.5493,10,512
1e-05,RMSprop,DeepFM,0.001,500,0.6637,0.838,0.5765,10,32
1e-05,RMSprop,DeepFM,0.001,1000,0.8009,0.9817,0.582,10,32
1e-05,RMSprop,DeepFM,0.1,500,0.7665,0.9316,0.5594,10,32
1e-05,RMSprop,DeepFM,0.1,1000,0.863,1.0851,0.5435,10,32
1e-05,RMSprop,DeepFM,0.001,500,0.6024,0.7522,0.5683,10,128
1e-05,RMSprop,DeepFM,0.001,1000,0.6605,0.8365,0.5798,10,128
1e-05,RMSprop,DeepFM,0.1,500,0.684,0.8532,0.5506,10,128
1e-05,RMSprop,DeepFM,0.1,1000,0.7758,0.9442,0.5511,10,128
1e-05,RMSprop,DeepFM,0.001,500,0.5168,0.6669,0.5637,10,512
1e-05,RMSprop,DeepFM,0.001,1000,0.5849,0.7314,0.5663,10,512
1e-05,RMSprop,DeepFM,0.1,500,0.6755,0.835,0.5402,10,512
1e-05,RMSprop,DeepFM,0.1,1000,0.684,0.8506,0.5479,10,512
1e-06,adam,FM,0.001,500,0.9415,1.2673,0.5362,20,32
1e-06,adam,FM,0.001,1000,0.9519,1.2925,0.5162,20,32
1e-06,adam,FM,0.1,500,0.9438,1.2723,0.5249,20,32
1e-06,adam,FM,0.1,1000,0.9535,1.2953,0.5053,20,32
1e-06,adam,FM,0.001,500,0.9185,1.2137,0.5449,20,128
1e-06,adam,FM,0.001,1000,0.9449,1.2747,0.5116,20,128
1e-06,adam,FM,0.1,500,0.9269,1.2309,0.5227,20,128
1e-06,adam,FM,0.1,1000,0.9472,1.2803,0.5124,20,128
1e-06,adam,FM,0.001,500,0.8383,1.0522,0.568,20,512
1e-06,adam,FM,0.001,1000,0.9129,1.2021,0.5458,20,512
1e-06,adam,FM,0.1,500,0.8658,1.0972,0.5363,20,512
1e-06,adam,FM,0.1,1000,0.9243,1.2239,0.5196,20,512
1e-06,adam,DeepFM,0.001,500,0.9188,1.2089,0.5259,20,32
1e-06,adam,DeepFM,0.001,1000,0.9459,1.2763,0.5129,20,32
1e-06,adam,DeepFM,0.1,500,0.9358,1.25,0.5131,20,32
1e-06,adam,DeepFM,0.1,1000,0.9471,1.2788,0.5106,20,32
1e-06,adam,DeepFM,0.001,500,0.8924,1.152,0.5503,20,128
1e-06,adam,DeepFM,0.001,1000,0.9255,1.2256,0.5188,20,128
1e-06,adam,DeepFM,0.1,500,0.915,1.2003,0.5291,20,128
1e-06,adam,DeepFM,0.1,1000,0.9409,1.2638,0.5167,20,128
1e-06,adam,DeepFM,0.001,500,0.7561,0.9225,0.5701,20,512
1e-06,adam,DeepFM,0.001,1000,0.8767,1.1191,0.5474,20,512
1e-06,adam,DeepFM,0.1,500,0.8455,1.0543,0.5368,20,512
1e-06,adam,DeepFM,0.1,1000,0.9115,1.1937,0.5303,20,512
1e-06,RMSprop,FM,0.001,500,0.945,1.2751,0.5226,20,32
1e-06,RMSprop,FM,0.001,1000,0.9526,1.2935,0.5107,20,32
1e-06,RMSprop,FM,0.1,500,0.9464,1.2781,0.5151,20,32
1e-06,RMSprop,FM,0.1,1000,0.9524,1.2931,0.5141,20,32
1e-06,RMSprop,FM,0.001,500,0.9299,1.2393,0.5311,20,128
1e-06,RMSprop,FM,0.001,1000,0.9466,1.2793,0.5178,20,128
1e-06,RMSprop,FM,0.1,500,0.9345,1.249,0.5243,20,128
1e-06,RMSprop,FM,0.1,1000,0.949,1.2845,0.5183,20,128
1e-06,RMSprop,FM,0.001,500,0.8599,1.0913,0.56,20,512
1e-06,RMSprop,FM,0.001,1000,0.9188,1.2147,0.5311,20,512
1e-06,RMSprop,FM,0.1,500,0.8829,1.132,0.5364,20,512
1e-06,RMSprop,FM,0.1,1000,0.9297,1.2378,0.519,20,512
1e-06,RMSprop,DeepFM,0.001,500,0.9303,1.237,0.5192,20,32
1e-06,RMSprop,DeepFM,0.001,1000,0.946,1.2762,0.5122,20,32
1e-06,RMSprop,DeepFM,0.1,500,0.935,1.2481,0.5197,20,32
1e-06,RMSprop,DeepFM,0.1,1000,0.9479,1.2805,0.5116,20,32
1e-06,RMSprop,DeepFM,0.001,500,0.9026,1.1736,0.5403,20,128
1e-06,RMSprop,DeepFM,0.001,1000,0.9325,1.2432,0.5209,20,128
1e-06,RMSprop,DeepFM,0.1,500,0.9191,1.2099,0.5236,20,128
1e-06,RMSprop,DeepFM,0.1,1000,0.9409,1.2624,0.5018,20,128
1e-06,RMSprop,DeepFM,0.001,500,0.7793,0.9535,0.5635,20,512
1e-06,RMSprop,DeepFM,0.001,1000,0.8776,1.1196,0.5436,20,512
1e-06,RMSprop,DeepFM,0.1,500,0.8612,1.0844,0.5365,20,512
1e-06,RMSprop,DeepFM,0.1,1000,0.9175,1.2065,0.5225,20,512
1e-06,adam,FM,0.001,500,0.9294,1.2387,0.5405,30,32
1e-06,adam,FM,0.001,1000,0.946,1.2778,0.5234,30,32
1e-06,adam,FM,0.1,500,0.9321,1.2436,0.5347,30,32
1e-06,adam,FM,0.1,1000,0.9473,1.2801,0.5135,30,32
1e-06,adam,FM,0.001,500,0.885,1.1418,0.5639,30,128
1e-06,adam,FM,0.001,1000,0.9311,1.2429,0.5402,30,128
1e-06,adam,FM,0.1,500,0.8999,1.1697,0.5356,30,128
1e-06,adam,FM,0.1,1000,0.9383,1.258,0.5218,30,128
1e-06,adam,FM,0.001,500,0.7371,0.9069,0.5817,30,512
1e-06,adam,FM,0.001,1000,0.8741,1.1203,0.5595,30,512
1e-06,adam,FM,0.1,500,0.7903,0.9678,0.543,30,512
1e-06,adam,FM,0.1,1000,0.8959,1.1601,0.5282,30,512
1e-06,adam,DeepFM,0.001,500,0.887,1.1366,0.543,30,32
1e-06,adam,DeepFM,0.001,1000,0.9361,1.2516,0.5201,30,32
1e-06,adam,DeepFM,0.1,500,0.9191,1.2091,0.5226,30,32
1e-06,adam,DeepFM,0.1,1000,0.936,1.2502,0.5127,30,32
1e-06,adam,DeepFM,0.001,500,0.8352,1.0383,0.5624,30,128
1e-06,adam,DeepFM,0.001,1000,0.9062,1.1808,0.5295,30,128
1e-06,adam,DeepFM,0.1,500,0.8865,1.1362,0.5345,30,128
1e-06,adam,DeepFM,0.1,1000,0.927,1.229,0.5219,30,128
1e-06,adam,DeepFM,0.001,500,0.6716,0.8463,0.5744,30,512
1e-06,adam,DeepFM,0.001,1000,0.8109,0.9989,0.5611,30,512
1e-06,adam,DeepFM,0.1,500,0.7669,0.9335,0.5436,30,512
1e-06,adam,DeepFM,0.1,1000,0.8797,1.1219,0.5337,30,512
1e-06,RMSprop,FM,0.001,500,0.9349,1.251,0.5324,30,32
1e-06,RMSprop,FM,0.001,1000,0.9493,1.2852,0.512,30,32
1e-06,RMSprop,FM,0.1,500,0.9366,1.2549,0.5359,30,32
1e-06,RMSprop,FM,0.1,1000,0.9505,1.2879,0.5146,30,32
1e-06,RMSprop,FM,0.001,500,0.9022,1.1778,0.5544,30,128
1e-06,RMSprop,FM,0.001,1000,0.9362,1.2543,0.5286,30,128
1e-06,RMSprop,FM,0.1,500,0.9144,1.2016,0.5251,30,128
1e-06,RMSprop,FM,0.1,1000,0.9427,1.2686,0.5054,30,128
1e-06,RMSprop,FM,0.001,500,0.7692,0.9448,0.5784,30,512
1e-06,RMSprop,FM,0.001,1000,0.8883,1.1485,0.5528,30,512
1e-06,RMSprop,FM,0.1,500,0.8132,1.0017,0.5393,30,512
1e-06,RMSprop,FM,0.1,1000,0.9048,1.1792,0.5269,30,512
1e-06,RMSprop,DeepFM,0.001,500,0.8984,1.162,0.5388,30,32
1e-06,RMSprop,DeepFM,0.001,1000,0.9341,1.2463,0.5141,30,32
1e-06,RMSprop,DeepFM,0.1,500,0.9223,1.2167,0.5223,30,32
1e-06,RMSprop,DeepFM,0.1,1000,0.9434,1.2693,0.5083,30,32
1e-06,RMSprop,DeepFM,0.001,500,0.8384,1.0414,0.558,30,128
1e-06,RMSprop,DeepFM,0.001,1000,0.9127,1.1955,0.521,30,128
1e-06,RMSprop,DeepFM,0.1,500,0.8969,1.1594,0.5331,30,128
1e-06,RMSprop,DeepFM,0.1,1000,0.9282,1.2311,0.514,30,128
1e-06,RMSprop,DeepFM,0.001,500,0.678,0.852,0.5719,30,512
1e-06,RMSprop,DeepFM,0.001,1000,0.8322,1.0359,0.5565,30,512
1e-06,RMSprop,DeepFM,0.1,500,0.7797,0.9497,0.5397,30,512
1e-06,RMSprop,DeepFM,0.1,1000,0.8868,1.1374,0.5318,30,512
1e-05,adam,FM,0.001,500,0.6352,0.7918,0.5734,20,32
1e-05,adam,FM,0.001,1000,0.724,0.8935,0.5843,20,32
1e-05,adam,FM,0.1,500,0.6825,0.8505,0.5555,20,32
1e-05,adam,FM,0.1,1000,0.7793,0.9534,0.5586,20,32
1e-05,adam,FM,0.001,500,0.5943,0.7351,0.563,20,128
1e-05,adam,FM,0.001,1000,0.6229,0.7762,0.5698,20,128
1e-05,adam,FM,0.1,500,0.6742,0.8333,0.5445,20,128
1e-05,adam,FM,0.1,1000,0.6845,0.852,0.5537,20,128
1e-05,adam,FM,0.001,500,0.5526,0.6921,0.5599,20,512
1e-05,adam,FM,0.001,1000,0.5799,0.7194,0.5619,20,512
1e-05,adam,FM,0.1,500,0.6701,0.8277,0.5415,20,512
1e-05,adam,FM,0.1,1000,0.6757,0.8351,0.5439,20,512
1e-05,adam,DeepFM,0.001,500,0.5302,0.6843,0.5644,20,32
1e-05,adam,DeepFM,0.001,1000,0.6428,0.8085,0.5742,20,32
1e-05,adam,DeepFM,0.1,500,0.6825,0.8553,0.5532,20,32
1e-05,adam,DeepFM,0.1,1000,0.7442,0.9069,0.5601,20,32
1e-05,adam,DeepFM,0.001,500,0.4873,0.6531,0.5639,20,128
1e-05,adam,DeepFM,0.001,1000,0.5581,0.7079,0.5656,20,128
1e-05,adam,DeepFM,0.1,500,0.6755,0.8356,0.5435,20,128
1e-05,adam,DeepFM,0.1,1000,0.6839,0.8537,0.5531,20,128
1e-05,adam,DeepFM,0.001,500,0.4873,0.6533,0.5628,20,512
1e-05,adam,DeepFM,0.001,1000,0.4939,0.6499,0.5632,20,512
1e-05,adam,DeepFM,0.1,500,0.67,0.8278,0.5415,20,512
1e-05,adam,DeepFM,0.1,1000,0.6759,0.836,0.5439,20,512
1e-05,RMSprop,FM,0.001,500,0.6458,0.803,0.5709,20,32
1e-05,RMSprop,FM,0.001,1000,0.7543,0.9267,0.5861,20,32
1e-05,RMSprop,FM,0.1,500,0.6825,0.8498,0.553,20,32
1e-05,RMSprop,FM,0.1,1000,0.799,0.981,0.5563,20,32
1e-05,RMSprop,FM,0.001,500,0.5985,0.7405,0.5623,20,128
1e-05,RMSprop,FM,0.001,1000,0.6313,0.7831,0.5679,20,128
1e-05,RMSprop,FM,0.1,500,0.674,0.8324,0.5413,20,128
1e-05,RMSprop,FM,0.1,1000,0.6818,0.8476,0.5518,20,128
1e-05,RMSprop,FM,0.001,500,0.5514,0.6932,0.5602,20,512
1e-05,RMSprop,FM,0.001,1000,0.5774,0.7174,0.5608,20,512
1e-05,RMSprop,FM,0.1,500,0.67,0.8278,0.5413,20,512
1e-05,RMSprop,FM,0.1,1000,0.673,0.8312,0.541,20,512
1e-05,RMSprop,DeepFM,0.001,500,0.5788,0.7294,0.5666,20,32
1e-05,RMSprop,DeepFM,0.001,1000,0.6566,0.829,0.5746,20,32
1e-05,RMSprop,DeepFM,0.1,500,0.6823,0.8561,0.5482,20,32
1e-05,RMSprop,DeepFM,0.1,1000,0.747,0.9105,0.5616,20,32
1e-05,RMSprop,DeepFM,0.001,500,0.5027,0.6579,0.5638,20,128
1e-05,RMSprop,DeepFM,0.001,1000,0.5668,0.715,0.5653,20,128
1e-05,RMSprop,DeepFM,0.1,500,0.6755,0.8353,0.54,20,128
1e-05,RMSprop,DeepFM,0.1,1000,0.6822,0.8502,0.5496,20,128
