learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
1e-06,adam,128,0.001,500,30,4.991580009460449,4.991689451204923
1e-06,adam,128,0.001,500,30,4.117948532104492,4.130603105969269
1e-06,adam,128,0.001,500,30,3.9448258876800537,3.9483234662283846
1e-06,adam,128,0.001,500,30,2.598909378051758,2.676286413024319
1e-06,adam,128,0.001,1000,30,5.006242275238037,5.006352585254633
1e-06,adam,128,0.001,1000,30,5.022773265838623,5.022953182147326
1e-06,adam,128,0.001,1000,30,4.109517574310303,4.122233301052436
1e-06,adam,128,0.001,1000,30,3.9735190868377686,3.9768864887508646
1e-06,adam,128,0.001,1000,30,2.614887237548828,2.691847810663282
1e-06,adam,128,0.1,500,10,5.0143141746521,5.0144431364681035
1e-06,adam,128,0.1,500,10,4.990031719207764,4.990147420047198
1e-06,adam,128,0.1,500,10,4.084046840667725,4.097022692173616
1e-06,adam,128,0.1,500,10,3.9724411964416504,3.975872467068033
1e-06,adam,128,0.1,500,10,2.60327410697937,2.6802928896890768
1e-06,adam,128,0.1,1000,10,5.009880542755127,5.009994626527749
1e-06,adam,128,0.1,1000,10,4.990970611572266,4.991067345781068
1e-06,adam,128,0.1,1000,10,4.1183085441589355,4.130983809813163
1e-06,adam,128,0.1,1000,10,3.956500768661499,3.95996972775689
1e-06,adam,128,0.1,1000,10,2.608759880065918,2.685730995108851
1e-06,adam,128,0.1,500,20,5.001906394958496,5.002018902400868
1e-06,adam,128,0.1,500,20,5.001619338989258,5.001723945965093
1e-06,adam,128,0.1,500,20,4.096999168395996,4.109801527739766
1e-06,adam,128,0.1,500,20,3.9710693359375,3.974501759714804
1e-06,adam,128,0.1,500,20,2.5846683979034424,2.662386548844388
1e-06,adam,128,0.1,1000,20,4.9885430335998535,4.98865308697572
1e-06,adam,128,0.1,1000,20,4.983791351318359,4.983911761817715
1e-06,adam,128,0.1,1000,20,4.112541198730469,4.125233499102704
1e-06,adam,128,0.1,1000,20,3.9874930381774902,3.990932677976004
1e-06,adam,128,0.1,1000,20,2.6045501232147217,2.6815875465602357
