learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,NeuCMF0w,0.001,1000,0.9514,1.2888,0.5118,10,128
1e-06,adam,NeuCMF0w,0.1,500,0.9414,1.2628,0.5032,10,128
1e-06,adam,NeuCMF0w,0.1,1000,0.9519,1.29,0.4959,10,128
1e-06,adam,NeuCMF0w,0.001,500,0.9559,1.3003,0.5076,10,512
1e-06,adam,NeuCMF0w,0.001,1000,0.9543,1.296,0.5077,10,512
1e-06,adam,NeuCMF0w,0.1,500,0.9555,1.2992,0.4999,10,512
1e-06,adam,NeuCMF0w,0.1,1000,0.9585,1.3071,0.4932,10,512
1e-06,RMSprop,NeuCMFii,0.001,500,0.9461,1.2765,0.5126,10,32
1e-06,RMSprop,NeuCMFii,0.001,1000,0.9561,1.3022,0.5052,10,32
1e-06,RMSprop,NeuCMFii,0.1,500,0.9546,1.2978,0.5022,10,32
1e-06,RMSprop,NeuCMFii,0.1,1000,0.9563,1.3021,0.5026,10,32
1e-06,RMSprop,NeuCMFii,0.001,500,0.9461,1.2767,0.5183,10,128
1e-06,RMSprop,NeuCMFii,0.001,1000,0.9536,1.2957,0.5225,10,128
1e-06,RMSprop,NeuCMFii,0.1,500,0.9562,1.3017,0.5104,10,128
1e-06,RMSprop,NeuCMFii,0.1,1000,0.9544,1.2968,0.5005,10,128
1e-06,RMSprop,NeuCMFii,0.001,500,0.9545,1.2981,0.5116,10,512
1e-06,RMSprop,NeuCMFii,0.001,1000,0.9573,1.3049,0.5018,10,512
1e-06,RMSprop,NeuCMFii,0.1,500,0.9549,1.2984,0.5087,10,512
1e-06,RMSprop,NeuCMFii,0.1,1000,0.9562,1.3021,0.5078,10,512
1e-06,RMSprop,NeuCMFww,0.001,500,0.9483,1.2808,0.511,10,32
1e-06,RMSprop,NeuCMFww,0.001,1000,0.9513,1.2889,0.5072,10,32
1e-06,RMSprop,NeuCMFww,0.1,500,0.9521,1.2908,0.4922,10,32
1e-06,RMSprop,NeuCMFww,0.1,1000,0.9549,1.2979,0.5007,10,32
1e-06,RMSprop,NeuCMFww,0.001,500,0.9548,1.2979,0.5147,10,128
1e-06,RMSprop,NeuCMFww,0.001,1000,0.9528,1.2923,0.506,10,128
1e-06,RMSprop,NeuCMFww,0.1,500,0.9563,1.3018,0.5013,10,128
1e-06,RMSprop,NeuCMFww,0.1,1000,0.958,1.306,0.4903,10,128
1e-06,RMSprop,NeuCMFww,0.001,500,0.9569,1.3034,0.5065,10,512
1e-06,RMSprop,NeuCMFww,0.001,1000,0.9558,1.3005,0.503,10,512
1e-06,RMSprop,NeuCMFww,0.1,500,0.9573,1.3045,0.5014,10,512
1e-06,RMSprop,NeuCMFww,0.1,1000,0.9563,1.3016,0.4919,10,512
1e-06,RMSprop,NeuCMFi0,0.001,500,0.9535,1.2958,0.5265,10,32
1e-06,RMSprop,NeuCMFi0,0.001,1000,0.9571,1.3049,0.5189,10,32
1e-06,RMSprop,NeuCMFi0,0.1,500,0.9559,1.3014,0.5176,10,32
1e-06,RMSprop,NeuCMFi0,0.1,1000,0.9576,1.3057,0.5084,10,32
1e-06,RMSprop,NeuCMFi0,0.001,500,0.9565,1.3036,0.5315,10,128
1e-06,RMSprop,NeuCMFi0,0.001,1000,0.957,1.3048,0.5219,10,128
1e-06,RMSprop,NeuCMFi0,0.1,500,0.9577,1.306,0.5131,10,128
1e-06,RMSprop,NeuCMFi0,0.1,1000,0.959,1.3094,0.5049,10,128
1e-06,RMSprop,NeuCMFi0,0.001,500,0.9565,1.3036,0.5243,10,512
1e-06,RMSprop,NeuCMFi0,0.001,1000,0.9563,1.3025,0.5187,10,512
1e-06,RMSprop,NeuCMFi0,0.1,500,0.9571,1.3044,0.5112,10,512
1e-06,RMSprop,NeuCMFi0,0.1,1000,0.955,1.2986,0.509,10,512
1e-06,RMSprop,NeuCMF0i,0.001,500,0.9264,1.2253,0.4939,10,32
1e-06,RMSprop,NeuCMF0i,0.001,1000,0.9401,1.2588,0.4951,10,32
1e-06,RMSprop,NeuCMF0i,0.1,500,0.9458,1.2747,0.4957,10,32
1e-06,RMSprop,NeuCMF0i,0.1,1000,0.9472,1.277,0.4867,10,32
1e-06,RMSprop,NeuCMF0i,0.001,500,0.9382,1.2553,0.4964,10,128
1e-06,RMSprop,NeuCMF0i,0.001,1000,0.9461,1.2748,0.5009,10,128
1e-06,RMSprop,NeuCMF0i,0.1,500,0.9338,1.2434,0.4982,10,128
1e-06,RMSprop,NeuCMF0i,0.1,1000,0.9609,1.3125,0.4957,10,128
1e-06,RMSprop,NeuCMF0i,0.001,500,0.9304,1.2347,0.5027,10,512
1e-06,RMSprop,NeuCMF0i,0.001,1000,0.9517,1.2897,0.49,10,512
1e-06,RMSprop,NeuCMF0i,0.1,500,0.9349,1.2457,0.4956,10,512
1e-06,RMSprop,NeuCMF0i,0.1,1000,0.943,1.2665,0.5027,10,512
1e-06,RMSprop,NeuCMFw0,0.001,500,0.9561,1.3009,0.5144,10,32
1e-06,RMSprop,NeuCMFw0,0.001,1000,0.9603,1.3121,0.5028,10,32
1e-06,RMSprop,NeuCMFw0,0.1,500,0.9501,1.2854,0.4969,10,32
1e-06,RMSprop,NeuCMFw0,0.1,1000,0.9585,1.3072,0.5027,10,32
1e-06,RMSprop,NeuCMFw0,0.001,500,0.9589,1.3081,0.508,10,128
1e-06,RMSprop,NeuCMFw0,0.001,1000,0.9601,1.3114,0.4986,10,128
1e-06,RMSprop,NeuCMFw0,0.1,500,0.9554,1.2993,0.4933,10,128
1e-06,RMSprop,NeuCMFw0,0.1,1000,0.9576,1.3048,0.5019,10,128
1e-06,RMSprop,NeuCMFw0,0.001,500,0.9486,1.2814,0.5241,10,512
1e-06,RMSprop,NeuCMFw0,0.001,1000,0.9541,1.296,0.5007,10,512
1e-06,RMSprop,NeuCMFw0,0.1,500,0.954,1.2959,0.4955,10,512
1e-06,RMSprop,NeuCMFw0,0.1,1000,0.9552,1.2986,0.4977,10,512
1e-06,RMSprop,NeuCMF0w,0.001,500,0.9568,1.3022,0.5098,10,32
1e-06,RMSprop,NeuCMF0w,0.001,1000,0.9503,1.2859,0.5003,10,32
1e-06,RMSprop,NeuCMF0w,0.1,500,0.9579,1.3054,0.504,10,32
1e-06,RMSprop,NeuCMF0w,0.1,1000,0.9545,1.2974,0.5002,10,32
1e-06,RMSprop,NeuCMF0w,0.001,500,0.9467,1.2766,0.5134,10,128
1e-06,RMSprop,NeuCMF0w,0.001,1000,0.9509,1.287,0.5041,10,128
1e-06,RMSprop,NeuCMF0w,0.1,500,0.9522,1.291,0.5023,10,128
1e-06,RMSprop,NeuCMF0w,0.1,1000,0.9499,1.2852,0.4922,10,128
1e-06,RMSprop,NeuCMF0w,0.001,500,0.9522,1.2907,0.5149,10,512
1e-06,RMSprop,NeuCMF0w,0.001,1000,0.9533,1.2937,0.5103,10,512
1e-06,RMSprop,NeuCMF0w,0.1,500,0.9579,1.305,0.4947,10,512
1e-06,RMSprop,NeuCMF0w,0.1,1000,0.9508,1.287,0.4994,10,512
0.001,adam,NeuCMFii,0.001,500,0.4612,0.6139,0.5464,10,32
0.001,adam,NeuCMFii,0.001,1000,0.4603,0.6128,0.5477,10,32
0.001,adam,NeuCMFii,0.1,500,0.6887,0.8606,0.5285,10,32
0.001,adam,NeuCMFii,0.1,1000,0.6842,0.853,0.5352,10,32
0.001,adam,NeuCMFii,0.001,500,0.4618,0.6149,0.5466,10,128
0.001,adam,NeuCMFii,0.001,1000,0.4622,0.6143,0.5481,10,128
0.001,adam,NeuCMFii,0.1,500,0.6892,0.8609,0.5271,10,128
0.001,adam,NeuCMFii,0.1,1000,0.6884,0.8583,0.5245,10,128
0.001,adam,NeuCMFii,0.001,500,0.4611,0.6149,0.5477,10,512
0.001,adam,NeuCMFii,0.001,1000,0.4621,0.6141,0.5477,10,512
0.001,adam,NeuCMFii,0.1,500,0.6878,0.8598,0.5316,10,512
0.001,adam,NeuCMFii,0.1,1000,0.6854,0.8547,0.5303,10,512
0.001,adam,NeuCMFww,0.001,500,0.531,0.6901,0.5521,10,32
0.001,adam,NeuCMFww,0.001,1000,0.5387,0.6959,0.55,10,32
0.001,adam,NeuCMFww,0.1,500,0.7097,0.8948,0.5,10,32
0.001,adam,NeuCMFww,0.1,1000,0.7124,0.8952,0.5,10,32
0.001,adam,NeuCMFww,0.001,500,0.5307,0.6897,0.5515,10,128
0.001,adam,NeuCMFww,0.001,1000,0.539,0.6967,0.5505,10,128
0.001,adam,NeuCMFww,0.1,500,0.7083,0.8946,0.5,10,128
0.001,adam,NeuCMFww,0.1,1000,0.7101,0.8949,0.5,10,128
0.001,adam,NeuCMFww,0.001,500,0.531,0.6895,0.5506,10,512
0.001,adam,NeuCMFww,0.001,1000,0.5402,0.6968,0.5499,10,512
0.001,adam,NeuCMFww,0.1,500,0.7097,0.8948,0.5,10,512
0.001,adam,NeuCMFww,0.1,1000,0.7097,0.8949,0.5128,10,512
0.001,adam,NeuCMFi0,0.001,500,0.469,0.6197,0.5453,10,32
0.001,adam,NeuCMFi0,0.001,1000,0.4711,0.6201,0.5455,10,32
0.001,adam,NeuCMFi0,0.1,500,0.7018,0.8816,0.5651,10,32
0.001,adam,NeuCMFi0,0.1,1000,0.7024,0.8824,0.5666,10,32
0.001,adam,NeuCMFi0,0.001,500,0.4677,0.6188,0.5464,10,128
0.001,adam,NeuCMFi0,0.001,1000,0.4712,0.6193,0.5461,10,128
0.001,adam,NeuCMFi0,0.1,500,0.7031,0.8787,0.5673,10,128
0.001,adam,NeuCMFi0,0.1,1000,0.7039,0.8857,0.5665,10,128
0.001,adam,NeuCMFi0,0.001,500,0.4682,0.6195,0.5462,10,512
0.001,adam,NeuCMFi0,0.001,1000,0.4705,0.6198,0.5462,10,512
0.001,adam,NeuCMFi0,0.1,500,0.7037,0.8845,0.5651,10,512
0.001,adam,NeuCMFi0,0.1,1000,0.7046,0.8857,0.568,10,512
0.001,adam,NeuCMF0i,0.001,500,0.541,0.6944,0.5537,10,32
