learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,DeepFM,0.1,1000,4.1215,4.2274,0.5108,20,512
1e-06,RMSprop,FM,0.001,500,4.1244,4.2303,0.5218,20,32
1e-06,RMSprop,FM,0.001,1000,4.125,4.2308,0.5219,20,32
1e-06,RMSprop,FM,0.1,500,4.1246,4.2304,0.5223,20,32
1e-06,RMSprop,FM,0.1,1000,4.1251,4.2309,0.5222,20,32
1e-06,RMSprop,FM,0.001,500,4.1194,4.2253,0.4998,20,128
1e-06,RMSprop,FM,0.001,1000,4.1203,4.2262,0.4998,20,128
1e-06,RMSprop,FM,0.1,500,4.1198,4.2257,0.4996,20,128
1e-06,RMSprop,FM,0.1,1000,4.1207,4.2266,0.4997,20,128
1e-06,RMSprop,FM,0.001,500,4.121,4.2268,0.5,20,512
1e-06,RMSprop,FM,0.001,1000,4.1223,4.2281,0.5232,20,512
1e-06,RMSprop,FM,0.1,500,4.119,4.2249,0.4958,20,512
1e-06,RMSprop,FM,0.1,1000,4.1215,4.2273,0.5136,20,512
1e-06,RMSprop,DeepFM,0.001,500,4.1143,4.2204,0.527,20,32
1e-06,RMSprop,DeepFM,0.001,1000,4.1174,4.2233,0.5275,20,32
1e-06,RMSprop,DeepFM,0.1,500,4.1161,4.2221,0.4929,20,32
1e-06,RMSprop,DeepFM,0.1,1000,4.1184,4.2243,0.5279,20,32
1e-06,RMSprop,DeepFM,0.001,500,4.1156,4.2215,0.4956,20,128
1e-06,RMSprop,DeepFM,0.001,1000,4.1195,4.2253,0.4966,20,128
1e-06,RMSprop,DeepFM,0.1,500,4.1185,4.2244,0.4823,20,128
1e-06,RMSprop,DeepFM,0.1,1000,4.1216,4.2273,0.5036,20,128
1e-06,RMSprop,DeepFM,0.001,500,4.0923,4.1991,0.5516,20,512
1e-06,RMSprop,DeepFM,0.001,1000,4.1012,4.2076,0.5054,20,512
1e-06,RMSprop,DeepFM,0.1,500,4.0949,4.2015,0.5202,20,512
1e-06,RMSprop,DeepFM,0.1,1000,4.1124,4.2185,0.5097,20,512
1e-06,adam,FM,0.001,500,4.1241,4.2299,0.5217,30,32
1e-06,adam,FM,0.001,1000,4.125,4.2308,0.5219,30,32
1e-06,adam,FM,0.1,500,4.1243,4.2301,0.5221,30,32
1e-06,adam,FM,0.1,1000,4.1251,4.2309,0.5222,30,32
1e-06,adam,FM,0.001,500,4.1187,4.2246,0.4999,30,128
1e-06,adam,FM,0.001,1000,4.1203,4.2262,0.4999,30,128
1e-06,adam,FM,0.1,500,4.119,4.225,0.4913,30,128
1e-06,adam,FM,0.1,1000,4.1207,4.2266,0.4997,30,128
1e-06,adam,FM,0.001,500,4.1141,4.2201,0.4451,30,512
1e-06,adam,FM,0.001,1000,4.1232,4.229,0.4925,30,512
1e-06,adam,FM,0.1,500,4.1184,4.2244,0.5142,30,512
1e-06,adam,FM,0.1,1000,4.1218,4.2276,0.5138,30,512
1e-06,adam,DeepFM,0.001,500,4.1122,4.2183,0.5079,30,32
1e-06,adam,DeepFM,0.001,1000,4.1172,4.2232,0.5091,30,32
1e-06,adam,DeepFM,0.1,500,4.1144,4.2205,0.5272,30,32
1e-06,adam,DeepFM,0.1,1000,4.1183,4.2242,0.5279,30,32
1e-06,adam,DeepFM,0.001,500,4.1128,4.2188,0.4802,30,128
1e-06,adam,DeepFM,0.001,1000,4.1196,4.2255,0.5024,30,128
1e-06,adam,DeepFM,0.1,500,4.1166,4.2225,0.4969,30,128
1e-06,adam,DeepFM,0.1,1000,4.1212,4.2271,0.4827,30,128
1e-06,adam,DeepFM,0.001,500,4.089,4.1956,0.4896,30,512
1e-06,adam,DeepFM,0.001,1000,4.1022,4.2086,0.5153,30,512
1e-06,adam,DeepFM,0.1,500,4.1029,4.2091,0.4442,30,512
1e-06,adam,DeepFM,0.1,1000,4.1111,4.2172,0.4744,30,512
1e-06,RMSprop,FM,0.001,500,4.1238,4.2297,0.5216,30,32
1e-06,RMSprop,FM,0.001,1000,4.1246,4.2305,0.5218,30,32
1e-06,RMSprop,FM,0.1,500,4.124,4.2299,0.5222,30,32
1e-06,RMSprop,FM,0.1,1000,4.1248,4.2307,0.5222,30,32
1e-06,RMSprop,FM,0.001,500,4.1178,4.2238,0.491,30,128
1e-06,RMSprop,FM,0.001,1000,4.1196,4.2256,0.4999,30,128
1e-06,RMSprop,FM,0.1,500,4.1185,4.2245,0.4912,30,128
1e-06,RMSprop,FM,0.1,1000,4.1202,4.2261,0.4997,30,128
1e-06,RMSprop,FM,0.001,500,4.1172,4.2231,0.508,30,512
1e-06,RMSprop,FM,0.001,1000,4.117,4.2229,0.4852,30,512
1e-06,RMSprop,FM,0.1,500,4.1171,4.2231,0.5197,30,512
1e-06,RMSprop,FM,0.1,1000,4.1175,4.2234,0.4817,30,512
1e-06,RMSprop,DeepFM,0.001,500,4.1108,4.2169,0.5259,30,32
1e-06,RMSprop,DeepFM,0.001,1000,4.1156,4.2216,0.5271,30,32
1e-06,RMSprop,DeepFM,0.1,500,4.1133,4.2193,0.527,30,32
1e-06,RMSprop,DeepFM,0.1,1000,4.117,4.223,0.5115,30,32
1e-06,RMSprop,DeepFM,0.001,500,4.111,4.2171,0.4798,30,128
1e-06,RMSprop,DeepFM,0.001,1000,4.1175,4.2234,0.5016,30,128
1e-06,RMSprop,DeepFM,0.1,500,4.1153,4.2213,0.4815,30,128
1e-06,RMSprop,DeepFM,0.1,1000,4.1197,4.2256,0.4826,30,128
1e-06,RMSprop,DeepFM,0.001,500,4.0846,4.1914,0.4519,30,512
1e-06,RMSprop,DeepFM,0.001,1000,4.0952,4.2017,0.5026,30,512
1e-06,RMSprop,DeepFM,0.1,500,4.1039,4.2102,0.5267,30,512
1e-06,RMSprop,DeepFM,0.1,1000,4.1035,4.2098,0.4894,30,512
1e-05,adam,FM,0.001,500,4.1188,4.2248,0.5206,10,32
1e-05,adam,FM,0.001,1000,4.1223,4.2282,0.5211,10,32
1e-05,adam,FM,0.1,500,4.1196,4.2256,0.5218,10,32
1e-05,adam,FM,0.1,1000,4.1228,4.2287,0.5221,10,32
1e-05,adam,FM,0.001,500,4.1083,4.2145,0.5,10,128
1e-05,adam,FM,0.001,1000,4.1149,4.2209,0.4903,10,128
1e-05,adam,FM,0.1,500,4.111,4.2172,0.4994,10,128
1e-05,adam,FM,0.1,1000,4.1164,4.2225,0.4912,10,128
1e-05,adam,FM,0.001,500,4.0837,4.1906,0.4698,10,512
1e-05,adam,FM,0.001,1000,4.1035,4.2099,0.469,10,512
1e-05,adam,FM,0.1,500,4.088,4.1947,0.4935,10,512
1e-05,adam,FM,0.1,1000,4.1139,4.2199,0.4578,10,512
1e-05,adam,DeepFM,0.001,500,4.0704,4.1776,0.5178,10,32
1e-05,adam,DeepFM,0.001,1000,4.1018,4.2081,0.5235,10,32
1e-05,adam,DeepFM,0.1,500,4.0835,4.1904,0.5063,10,32
1e-05,adam,DeepFM,0.1,1000,4.1069,4.2131,0.5253,10,32
1e-05,adam,DeepFM,0.001,500,4.0577,4.1652,0.4772,10,128
1e-05,adam,DeepFM,0.001,1000,4.0992,4.2056,0.4968,10,128
1e-05,adam,DeepFM,0.1,500,4.0803,4.1871,0.4804,10,128
1e-05,adam,DeepFM,0.1,1000,4.1077,4.2139,0.4806,10,128
1e-05,adam,DeepFM,0.001,500,3.9404,4.0512,0.5011,10,512
1e-05,adam,DeepFM,0.001,1000,4.0561,4.1637,0.5224,10,512
1e-05,adam,DeepFM,0.1,500,4.0131,4.1217,0.4685,10,512
1e-05,adam,DeepFM,0.1,1000,4.0784,4.1854,0.5111,10,512
1e-05,RMSprop,FM,0.001,500,4.1145,4.2206,0.5206,10,32
1e-05,RMSprop,FM,0.001,1000,4.1184,4.2245,0.5204,10,32
1e-05,RMSprop,FM,0.1,500,4.1158,4.2219,0.534,10,32
1e-05,RMSprop,FM,0.1,1000,4.118,4.2239,0.5152,10,32
1e-05,RMSprop,FM,0.001,500,4.0996,4.206,0.5002,10,128
1e-05,RMSprop,FM,0.001,1000,4.1074,4.2137,0.5004,10,128
1e-05,RMSprop,FM,0.1,500,4.1037,4.21,0.49,10,128
1e-05,RMSprop,FM,0.1,1000,4.1109,4.217,0.4997,10,128
1e-05,RMSprop,FM,0.001,500,4.0596,4.1672,0.5069,10,512
1e-05,RMSprop,FM,0.001,1000,4.081,4.1879,0.4855,10,512
1e-05,RMSprop,FM,0.1,500,4.0757,4.1827,0.5085,10,512
1e-05,RMSprop,FM,0.1,1000,4.0972,4.2037,0.5221,10,512
1e-05,RMSprop,DeepFM,0.001,500,4.0359,4.1439,0.5139,10,32
1e-05,RMSprop,DeepFM,0.001,1000,4.0725,4.1796,0.5186,10,32
1e-05,RMSprop,DeepFM,0.1,500,4.0563,4.1639,0.5186,10,32
1e-05,RMSprop,DeepFM,0.1,1000,4.085,4.1918,0.5222,10,32
