,learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
63,1e-06,adam,512,0.001,1000,10,0.9564776420593262,1.294326307471772
64,1e-06,adam,512,0.001,1000,20,0.9449497342109681,1.2748695790905198
65,1e-06,adam,512,0.001,1000,30,0.9398465037345887,1.267063707626292
66,1e-06,adam,512,0.1,500,10,0.9543038249015808,1.2907630577652627
67,1e-06,adam,512,0.1,500,20,0.927436637878418,1.2427281984415939
68,1e-06,adam,512,0.1,500,30,0.9093441367149353,1.2084456931978287
69,1e-06,adam,512,0.1,1000,10,0.9620842933654785,1.3012721618043117
70,1e-06,adam,512,0.1,1000,20,0.9467977523803711,1.2785884520601274
71,1e-06,adam,512,0.1,1000,30,0.9373163700103759,1.2620495301811634
72,1e-05,RMSprop,32,0.001,500,10,0.9118802309036255,1.203591180630066
73,1e-05,RMSprop,32,0.001,500,20,0.8191662073135376,1.0525723536961045
74,1e-05,RMSprop,32,0.001,500,30,0.7577572464942932,0.9673438528582429
75,1e-05,RMSprop,32,0.001,1000,10,0.937067186832428,1.2557883919342951
76,1e-05,RMSprop,32,0.001,1000,20,0.9092686891555786,1.1982643945678186
77,1e-05,RMSprop,32,0.001,1000,30,0.8773809790611267,1.1366052492480407
78,1e-05,RMSprop,32,0.1,500,10,0.9091539978981018,1.197125528954317
79,1e-05,RMSprop,32,0.1,500,20,0.8224285006523132,1.0556761076624739
80,1e-05,RMSprop,32,0.1,500,30,0.757321834564209,0.9671842440298795
81,1e-05,RMSprop,32,0.1,1000,10,0.9379857420921326,1.2578595504169798
82,1e-05,RMSprop,32,0.1,1000,20,0.9061174154281616,1.190860246434211
83,1e-05,RMSprop,32,0.1,1000,30,0.8749569177627563,1.1328922124735927
84,1e-05,RMSprop,128,0.001,500,10,0.8689407229423523,1.1282805663825006
85,1e-05,RMSprop,128,0.001,500,20,0.7435777902603149,0.9438780961755509
86,1e-05,RMSprop,128,0.001,500,30,0.6929513931274414,0.875542639128502
87,1e-05,RMSprop,128,0.001,1000,10,0.9225099444389343,1.2280103035535441
88,1e-05,RMSprop,128,0.001,1000,20,0.8677613496780395,1.1255055809002925
89,1e-05,RMSprop,128,0.001,1000,30,0.7904086828231811,1.0126752157129437
90,1e-05,RMSprop,128,0.1,500,10,0.8616714596748352,1.1184709240752526
91,1e-05,RMSprop,128,0.1,500,20,0.7454700112342835,0.9475042544416844
92,1e-05,RMSprop,128,0.1,500,30,0.6918643474578857,0.873492749016885
93,1e-05,RMSprop,128,0.1,1000,10,0.9266117095947266,1.2375430258749966
94,1e-05,RMSprop,128,0.1,1000,20,0.8661485552787781,1.1241550134293483
95,1e-05,RMSprop,128,0.1,1000,30,0.7851475477218628,1.0083677997539966
96,1e-05,RMSprop,512,0.001,500,10,0.8095360159873962,1.0456292786162156
97,1e-05,RMSprop,512,0.001,500,20,0.680459713935852,0.8614289611561764
98,1e-05,RMSprop,512,0.001,500,30,0.6529709100723267,0.8165960079250472
99,1e-05,RMSprop,512,0.001,1000,10,0.8962141513824463,1.186213121346728
100,1e-05,RMSprop,512,0.001,1000,20,0.7694939613342285,0.9901626716036812
101,1e-05,RMSprop,512,0.001,1000,30,0.7046154737472534,0.8926974991176667
102,1e-05,RMSprop,512,0.1,500,10,0.7852566957473754,1.0114559973329238
103,1e-05,RMSprop,512,0.1,500,20,0.6792099356651307,0.8591863424281362
104,1e-05,RMSprop,512,0.1,500,30,0.6538511276245117,0.8170314888995784
105,1e-05,RMSprop,512,0.1,1000,10,0.8942812204360961,1.1814223544553535
106,1e-05,RMSprop,512,0.1,1000,20,0.7780049562454223,1.0019306765411997
107,1e-05,RMSprop,512,0.1,1000,30,0.7055040955543518,0.8937385608154063
108,1e-05,adam,32,0.001,500,10,0.8960169076919555,1.1736558859766133
109,1e-05,adam,32,0.001,500,20,0.7765655517578125,1.004046199780007
110,1e-05,adam,32,0.001,500,30,0.7394875288009644,0.9442513797412563
111,1e-05,adam,32,0.001,1000,10,0.9356726050376892,1.2529842714621455
112,1e-05,adam,32,0.001,1000,20,0.8831664800643921,1.1509114638770082
113,1e-05,adam,32,0.001,1000,30,0.8085691213607789,1.0447210391922543
114,1e-05,adam,32,0.1,500,10,0.895422387123108,1.1722709112113865
115,1e-05,adam,32,0.1,500,20,0.7805106043815613,1.0101020272185084
116,1e-05,adam,32,0.1,500,30,0.7368794918060303,0.9405805887981948
117,1e-05,adam,32,0.1,1000,10,0.9326185345649719,1.2469307310749271
118,1e-05,adam,32,0.1,1000,20,0.8989987850189209,1.1787695551091892
119,1e-05,adam,32,0.1,1000,30,0.819097352027893,1.0555157354079863
120,1e-05,adam,128,0.001,500,10,0.8386200547218323,1.0831966092761636
121,1e-05,adam,128,0.001,500,20,0.7126421809196473,0.903804981522726
122,1e-05,adam,128,0.001,500,30,0.6629128336906434,0.8416157942928251
123,1e-05,adam,128,0.001,1000,10,0.9113312602043152,1.2081515736903536
124,1e-05,adam,128,0.001,1000,20,0.8140917301177979,1.0478330158788072
125,1e-05,adam,128,0.001,1000,30,0.7318739056587219,0.9343616362744646
126,1e-05,adam,128,0.1,500,10,0.8217594265937805,1.0616321203799102
127,1e-05,adam,128,0.1,500,20,0.713876235485077,0.9063930679514025
128,1e-05,adam,128,0.1,500,30,0.6613564372062684,0.8388595775155947
129,1e-05,adam,128,0.1,1000,10,0.9189595699310302,1.2242270197202632
130,1e-05,adam,128,0.1,1000,20,0.7999822616577148,1.031736431002274
131,1e-05,adam,128,0.1,1000,30,0.7280181407928467,0.9302838484944094
132,1e-05,adam,512,0.001,500,10,0.7204261541366577,0.9187767565111745
133,1e-05,adam,512,0.001,500,20,0.6368680238723755,0.8088237342226272
134,1e-05,adam,512,0.001,500,30,0.6208597898483277,0.7838284056080281
135,1e-05,adam,512,0.001,1000,10,0.8528002381324769,1.1108693091965143
136,1e-05,adam,512,0.001,1000,20,0.7022724032402039,0.8917319709597855
137,1e-05,adam,512,0.001,1000,30,0.6479543805122375,0.8235794927248431
138,1e-05,adam,512,0.1,500,10,0.721748435497284,0.9206204845605542
139,1e-05,adam,512,0.1,500,20,0.6363492250442505,0.808234478663274
140,1e-05,adam,512,0.1,500,30,0.6199336409568786,0.7831888995460589
141,1e-05,adam,512,0.1,1000,10,0.8587135195732116,1.118046480139289
142,1e-05,adam,512,0.1,1000,20,0.7033194780349732,0.893190790994218
143,1e-05,adam,512,0.1,1000,30,0.6501541137695312,0.8267454264880166
144,0.001,RMSprop,32,0.001,500,10,0.5997972965240479,0.7637393901601788
145,0.001,RMSprop,32,0.001,500,20,0.5952632069587708,0.7612538195348415
146,0.001,RMSprop,32,0.001,500,30,0.5956232428550721,0.7625405181397162
147,0.001,RMSprop,32,0.001,1000,10,0.6016266822814942,0.7651972115387278
148,0.001,RMSprop,32,0.001,1000,20,0.597428023815155,0.7625958963944216
149,0.001,RMSprop,32,0.001,1000,30,0.595596170425415,0.7611954442279074
150,0.001,RMSprop,32,0.1,500,10,0.6002068400382996,0.7643044181503155
151,0.001,RMSprop,32,0.1,500,20,0.5955250859260559,0.7615710348769745
152,0.001,RMSprop,32,0.1,500,30,0.5956832885742187,0.7621050220818137
153,0.001,RMSprop,32,0.1,1000,10,0.6019262552261353,0.7651636759780871
154,0.001,RMSprop,32,0.1,1000,20,0.5985500097274781,0.7625555637293301
155,0.001,RMSprop,32,0.1,1000,30,0.5966202139854431,0.7613298140318859
156,0.001,RMSprop,128,0.001,500,10,0.598132061958313,0.7609509125372457
157,0.001,RMSprop,128,0.001,500,20,0.5954630732536316,0.7604498986995439
158,0.001,RMSprop,128,0.001,500,30,0.5954025864601136,0.7610435583211685
159,0.001,RMSprop,128,0.001,1000,10,0.6005656480789184,0.7627885549609218
160,0.001,RMSprop,128,0.001,1000,20,0.5966999292373657,0.7607899060873742
161,0.001,RMSprop,128,0.001,1000,30,0.5942767858505249,0.7597466627097788
162,0.001,RMSprop,128,0.1,500,10,0.5973651885986329,0.7606685650226452
163,0.001,RMSprop,128,0.1,500,20,0.5953337907791137,0.7603419849212307
164,0.001,RMSprop,128,0.1,500,30,0.5949734091758728,0.7610561216042904
165,0.001,RMSprop,128,0.1,1000,10,0.600988507270813,0.7635993270172623
166,0.001,RMSprop,128,0.1,1000,20,0.5959395289421081,0.7610458014439336
167,0.001,RMSprop,128,0.1,1000,30,0.5950551509857178,0.760346458003746
168,0.001,RMSprop,512,0.001,500,10,0.597023892402649,0.760661557046718
169,0.001,RMSprop,512,0.001,500,20,0.5954639434814453,0.7605398846594407
170,0.001,RMSprop,512,0.001,500,30,0.5944200277328491,0.7607190580966611
171,0.001,RMSprop,512,0.001,1000,10,0.5980619430541992,0.760887913547383
172,0.001,RMSprop,512,0.001,1000,20,0.5964024543762207,0.7597819477956941
173,0.001,RMSprop,512,0.001,1000,30,0.5946456670761109,0.7595384856349855
174,0.001,RMSprop,512,0.1,500,10,0.5956658601760865,0.7595261880455829
175,0.001,RMSprop,512,0.1,500,20,0.5937349200248718,0.7589585363923674
176,0.001,RMSprop,512,0.1,500,30,0.5950218558311462,0.7605650694253651
177,0.001,RMSprop,512,0.1,1000,10,0.5995602488517762,0.762050403940527
178,0.001,RMSprop,512,0.1,1000,20,0.5944693326950073,0.7588696502368255
179,0.001,RMSprop,512,0.1,1000,30,0.5939443230628967,0.7599484816387256
180,0.001,adam,32,0.001,500,10,0.5982931971549987,0.7650288489010058
181,0.001,adam,32,0.001,500,20,0.5958469867706299,0.7631882468952514
182,0.001,adam,32,0.001,500,30,0.5943498492240906,0.7627539472442171
183,0.001,adam,32,0.001,1000,10,0.6019397258758545,0.7667425070223673
184,0.001,adam,32,0.001,1000,20,0.5961204290390014,0.763482222899183
185,0.001,adam,32,0.001,1000,30,0.5951269388198852,0.7633115020077346
186,0.001,adam,32,0.1,500,10,0.5988181471824646,0.764831938096301
187,0.001,adam,32,0.1,500,20,0.5945497751235962,0.7621907620961077
188,0.001,adam,32,0.1,500,30,0.5938050985336304,0.7622331467754737
189,0.001,adam,32,0.1,1000,10,0.6012408018112183,0.7662256630651532
