learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
1e-06,RMSprop,512,0.1,500,10,4.354298996925354,5.967295604284947,0
1e-06,RMSprop,512,0.1,1000,10,4.345611977577209,5.966630409528371,0
1e-06,RMSprop,512,0.1,500,20,4.34941599369049,5.949320412942514,0
1e-06,RMSprop,512,0.1,1000,20,4.348741960525513,5.964426777772911,0
1e-06,RMSprop,512,0.1,500,30,4.343286681175232,5.941548495122922,0
1e-06,RMSprop,512,0.1,1000,30,4.346393132209778,5.95644550783171,0
0.001,adam,32,0.001,500,10,1.5519408643245698,1.853604297506638,0
0.001,adam,32,0.001,1000,10,2.1189186692237856,2.53112166279536,0
0.001,adam,32,0.001,500,20,1.0685597360134125,1.291808113946694,0
0.001,adam,32,0.001,1000,20,1.3349470615386962,1.606936835601884,0
0.001,adam,32,0.001,500,30,1.0867628693580629,1.2879113299504938,0
0.001,adam,32,0.001,1000,30,1.0705251574516297,1.3020749552139312,0
0.001,adam,32,0.1,500,10,1.300236076116562,1.8117021712070591,0
0.001,adam,32,0.1,1000,10,1.961871588230133,2.878008711098536,0
0.001,adam,32,0.1,500,20,0.9635288208723068,1.2473631942821866,0
0.001,adam,32,0.1,1000,20,1.1170079827308654,1.6010773645051914,0
0.001,adam,32,0.1,500,30,0.9607219368219376,1.1974254383256395,0
0.001,adam,32,0.1,1000,30,0.9817002207040788,1.3117286981656398,0
0.001,adam,128,0.001,500,10,1.093282449245453,1.339779203322642,0
0.001,adam,128,0.001,1000,10,1.40957310795784,1.7123527317349356,0
0.001,adam,128,0.001,500,20,1.1101235926151276,1.322392066308158,0
0.001,adam,128,0.001,1000,20,1.0963110983371736,1.3315246065983872,0
0.001,adam,128,0.001,500,30,1.1279709458351137,1.3296456999433832,0
0.001,adam,128,0.001,1000,30,1.1145094990730289,1.3328492458058745,0
0.001,adam,128,0.1,500,10,1.0315233141183853,1.4849821796375522,0
0.001,adam,128,0.1,1000,10,1.2195685088634491,2.047290526866224,0
0.001,adam,128,0.1,500,20,1.0258320987224578,1.30091604502367,0
0.001,adam,128,0.1,1000,20,1.040942281484604,1.4611719443143714,0
0.001,adam,128,0.1,500,30,1.0104064166545867,1.2491739380739155,0
0.001,adam,128,0.1,1000,30,1.0517950057983398,1.3642453760387148,0
0.001,adam,512,0.001,500,10,1.1238825917243958,1.3502013259460215,0
0.001,adam,512,0.001,1000,10,1.1087350845336914,1.3553813587346693,0
0.001,adam,512,0.001,500,20,1.144305843114853,1.3571069365781394,0
0.001,adam,512,0.001,1000,20,1.1380532443523408,1.3628134638120957,0
0.001,adam,512,0.001,500,30,1.1468293070793152,1.3546757887847742,0
0.001,adam,512,0.001,1000,30,1.148864871263504,1.3680789852986812,0
0.001,adam,512,0.1,500,10,1.0791553378105163,1.512913120219743,0
0.001,adam,512,0.1,1000,10,1.0775962829589845,1.807371638687948,0
0.001,adam,512,0.1,500,20,1.0631999373435974,1.3354700129422552,0
0.001,adam,512,0.1,1000,20,1.092116469144821,1.5071962668654098,0
0.001,adam,512,0.1,500,30,1.0450296640396115,1.269913967252275,0
0.001,adam,512,0.1,1000,30,1.091606652736664,1.4047906424024457,0
0.001,RMSprop,32,0.001,500,10,1.695823121070862,2.022327363057544,0
0.001,RMSprop,32,0.001,1000,10,2.160245656967163,2.5652670411942755,0
0.001,RMSprop,32,0.001,500,20,1.065567272901535,1.2799641530225327,0
0.001,RMSprop,32,0.001,1000,20,1.3984286308288574,1.6759597327589095,0
0.001,RMSprop,32,0.001,500,30,1.0619867086410522,1.2428074902957953,0
0.001,RMSprop,32,0.001,1000,30,1.0870970010757446,1.3096173783619671,0
0.001,RMSprop,32,0.1,500,10,1.4194349467754364,1.8255728554126829,0
0.001,RMSprop,32,0.1,1000,10,2.052116572856903,2.851648140235292,0
0.001,RMSprop,32,0.1,500,20,0.9377673357725144,1.1592817857702356,0
0.001,RMSprop,32,0.1,1000,20,1.1568005681037905,1.5176990475585446,0
0.001,RMSprop,32,0.1,500,30,0.922586503624916,1.1043718226893886,0
0.001,RMSprop,32,0.1,1000,30,0.9309006094932556,1.1853049168041183,0
0.001,RMSprop,128,0.001,500,10,1.1201207220554352,1.36849589710854,0
0.001,RMSprop,128,0.001,1000,10,1.5386609315872193,1.8408638719823447,0
0.001,RMSprop,128,0.001,500,20,1.0827409505844117,1.2847988106978625,0
0.001,RMSprop,128,0.001,1000,20,1.1384794056415557,1.370822942785212,0
0.001,RMSprop,128,0.001,500,30,1.114786010980606,1.2918866611096522,0
0.001,RMSprop,128,0.001,1000,30,1.1037559270858766,1.3101973225223955,0
0.001,RMSprop,128,0.1,500,10,1.0116180777549744,1.33851099486283,0
0.001,RMSprop,128,0.1,1000,10,1.3849545538425443,2.024434413338376,0
0.001,RMSprop,128,0.1,500,20,0.9348927974700928,1.1515545395740332,0
0.001,RMSprop,128,0.1,1000,20,0.994980064034462,1.30924627176584,0
0.001,RMSprop,128,0.1,500,30,0.9345290541648864,1.1153707404200142,0
0.001,RMSprop,128,0.1,1000,30,0.9550473868846894,1.209129630438911,0
0.001,RMSprop,512,0.001,500,10,1.1835605204105375,1.396270564857607,0
0.001,RMSprop,512,0.001,1000,10,1.18810031414032,1.4689642364415083,0
0.001,RMSprop,512,0.001,500,20,1.118233144283295,1.310227261042262,0
0.001,RMSprop,512,0.001,1000,20,1.1429478406906128,1.3616771168562656,0
0.001,RMSprop,512,0.001,500,30,1.111152583360672,1.2993433889678774,0
0.001,RMSprop,512,0.001,1000,30,1.0865724623203277,1.2964288403695798,0
0.001,RMSprop,512,0.1,500,10,1.018215575814247,1.3553924978833554,0
0.001,RMSprop,512,0.1,1000,10,1.1730375289916992,1.787907446593982,0
0.001,RMSprop,512,0.1,500,20,0.9599621415138244,1.1983154274491836,0
0.001,RMSprop,512,0.1,1000,20,1.0579880684614182,1.3857665411305862,0
0.001,RMSprop,512,0.1,500,30,0.9511731922626496,1.1478003414682645,0
0.001,RMSprop,512,0.1,1000,30,0.985073372721672,1.2591365455939585,0
0.1,adam,32,0.001,500,10,0.992144125699997,1.2695980512210152,0
0.1,adam,32,0.001,1000,10,1.0994785726070404,1.518443242242966,0
0.1,adam,32,0.001,500,20,1.0085066616535188,1.1919852753960265,0
0.1,adam,32,0.001,1000,20,1.0324427127838134,1.3016435439945573,0
0.1,adam,32,0.001,500,30,0.9921038210391998,1.1581956242387612,0
0.1,adam,32,0.001,1000,30,1.0382394969463349,1.318324638756793,0
0.1,adam,32,0.1,500,10,0.8575820386409759,1.6384630317961446,0
0.1,adam,32,0.1,1000,10,0.9341826915740968,1.076506237004874,0
0.1,adam,32,0.1,500,20,0.9379532873630524,1.0750408300696637,0
0.1,adam,32,0.1,1000,20,0.9662679731845856,1.114872736510575,0
0.1,adam,32,0.1,500,30,0.9388709366321564,1.0666080046457278,0
0.1,adam,32,0.1,1000,30,0.963651204109192,1.1068279052679877,0
0.1,adam,128,0.001,500,10,1.0331328451633452,1.536380717262156,0
0.1,adam,128,0.001,1000,10,1.1423810601234436,1.9195405754139192,0
0.1,adam,128,0.001,500,20,0.961954253911972,1.331077090751428,0
0.1,adam,128,0.001,1000,20,1.0046047806739806,1.733212846303574,0
0.1,adam,128,0.001,500,30,0.946437531709671,1.2262334370053498,0
0.1,adam,128,0.001,1000,30,0.9851277351379396,1.6438592928824272,0
