learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
0.001,adam,64,0.001,500,15,0.6024299681186676,0.7712699881982197,8
0.001,adam,64,0.001,1000,15,0.6068643033504486,0.7750384936463517,8
0.001,adam,64,0.1,500,10,0.6210354387760162,0.798179687860833,8
0.001,adam,64,0.1,1000,10,0.6271621823310852,0.8105481177630721,8
0.001,adam,64,0.1,500,15,0.62174551486969,0.7972889741191416,8
0.001,adam,64,0.1,1000,15,0.6203236520290375,0.7985269962923471,8
0.001,RMSprop,32,0.001,500,10,0.6081640243530273,0.7735954007890256,8
0.001,RMSprop,32,0.001,1000,10,0.6114846706390381,0.7767081571173967,8
0.001,RMSprop,32,0.001,500,15,0.6043173730373382,0.7716866993277797,8
0.001,RMSprop,32,0.001,1000,15,0.607682716846466,0.7729659637160367,8
0.001,RMSprop,32,0.1,500,10,0.6603474020957947,0.8364129220805794,8
0.001,RMSprop,32,0.1,1000,10,0.660771244764328,0.8364261518077842,8
0.001,RMSprop,32,0.1,500,15,0.6592414498329162,0.8369339966152642,8
0.001,RMSprop,32,0.1,1000,15,0.6601043403148651,0.8363302074907114,8
0.001,RMSprop,64,0.001,500,10,0.6063119351863862,0.772157341751413,8
0.001,RMSprop,64,0.001,1000,10,0.6120055198669434,0.7761805587152245,8
0.001,RMSprop,64,0.001,500,15,0.6043632864952088,0.7709677441574845,8
0.001,RMSprop,64,0.001,1000,15,0.6056230723857879,0.7720256326390375,8
0.001,RMSprop,64,0.1,500,10,0.6592785954475403,0.8369662648037223,8
0.001,RMSprop,64,0.1,1000,10,0.6604461967945099,0.8366062982755301,8
0.001,RMSprop,64,0.1,500,15,0.6596925318241119,0.8368548733981136,8
0.001,RMSprop,64,0.1,1000,15,0.6588209867477417,0.8365163991179101,8
0.001,adam,64,0.001,500,15,0.6110092997550964,0.782608491427054,-8
1e-06,adam,32,0.001,500,10,0.9608702898025513,1.3401132206982218,9
1e-06,adam,32,0.001,1000,10,0.9630050957202911,1.3451984538829695,9
