learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.01,RMSprop,FM,32,0.0,1000,0.8186
0.01,RMSprop,FM,32,0.01,500,0.8144
0.01,RMSprop,FM,32,0.01,1000,0.8141
0.01,RMSprop,FM,32,0.1,500,0.8227
0.01,RMSprop,FM,32,0.1,1000,0.802
0.01,RMSprop,FM,64,0.0,500,0.8149
0.01,RMSprop,FM,64,0.0,1000,0.8188
0.01,RMSprop,FM,64,0.01,500,0.8135
0.01,RMSprop,FM,64,0.01,1000,0.815
0.01,RMSprop,FM,64,0.1,500,0.8138
0.01,RMSprop,FM,64,0.1,1000,0.8315
0.01,RMSprop,DeepFM,32,0.0,500,0.8256
0.01,RMSprop,DeepFM,32,0.0,1000,0.8204
0.01,RMSprop,DeepFM,32,0.01,500,0.8071
0.01,RMSprop,DeepFM,32,0.01,1000,0.829
0.01,RMSprop,DeepFM,32,0.1,500,0.8111
0.01,RMSprop,DeepFM,32,0.1,1000,0.8085
0.01,RMSprop,DeepFM,64,0.0,500,0.8181
0.01,RMSprop,DeepFM,64,0.0,1000,0.8161
0.01,RMSprop,DeepFM,64,0.01,500,0.8313
0.01,RMSprop,DeepFM,64,0.01,1000,0.8287
0.01,RMSprop,DeepFM,64,0.1,500,0.8217
0.01,RMSprop,DeepFM,64,0.1,1000,0.8068
0.001,adam,FM,32,0.0,500,0.8193
0.001,adam,FM,32,0.0,1000,0.8175
0.001,adam,FM,32,0.01,500,0.8181
0.001,adam,FM,32,0.01,1000,0.8145
0.001,adam,FM,32,0.1,500,0.8291
0.001,adam,FM,32,0.1,1000,0.8231
0.001,adam,FM,64,0.0,500,0.82
0.001,adam,FM,64,0.0,1000,0.8085
0.001,adam,FM,64,0.01,500,0.8132
0.001,adam,FM,64,0.01,1000,0.8109
0.001,adam,FM,64,0.1,500,0.8081
0.001,adam,FM,64,0.1,1000,0.8029
0.001,adam,DeepFM,32,0.0,500,0.8275
0.001,adam,DeepFM,32,0.0,1000,0.8262
0.001,adam,DeepFM,32,0.01,500,0.823
0.001,adam,DeepFM,32,0.01,1000,0.8374
0.001,adam,DeepFM,32,0.1,500,0.8123
0.001,adam,DeepFM,32,0.1,1000,0.8185
0.001,adam,DeepFM,64,0.0,500,0.8145
0.001,adam,DeepFM,64,0.0,1000,0.8062
0.001,adam,DeepFM,64,0.01,500,0.8075
0.001,adam,DeepFM,64,0.01,1000,0.8159
0.001,adam,DeepFM,64,0.1,500,0.819
0.001,adam,DeepFM,64,0.1,1000,0.8184
0.001,RMSprop,FM,32,0.0,500,0.8102
0.001,RMSprop,FM,32,0.0,1000,0.824
0.001,RMSprop,FM,32,0.01,500,0.8125
0.001,RMSprop,FM,32,0.01,1000,0.8223
0.001,RMSprop,FM,32,0.1,500,0.8174
0.001,RMSprop,FM,32,0.1,1000,0.8124
0.001,RMSprop,FM,64,0.0,500,0.8104
0.001,RMSprop,FM,64,0.0,1000,0.8086
0.001,RMSprop,FM,64,0.01,500,0.8201
0.001,RMSprop,FM,64,0.01,1000,0.8112
0.001,RMSprop,FM,64,0.1,500,0.8123
0.001,RMSprop,FM,64,0.1,1000,0.7998
0.001,RMSprop,DeepFM,32,0.0,500,0.818
0.001,RMSprop,DeepFM,32,0.0,1000,0.819
0.001,RMSprop,DeepFM,32,0.01,500,0.8174
0.001,RMSprop,DeepFM,32,0.01,1000,0.8136
0.001,RMSprop,DeepFM,32,0.1,500,0.824
0.001,RMSprop,DeepFM,32,0.1,1000,0.8089
