learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.1,RMSprop,NeuCMF0i,64,0.01,1000,0.8111
0.1,RMSprop,NeuCMF0i,64,0.1,500,0.8196
0.1,RMSprop,NeuCMF0i,64,0.1,1000,0.8156
0.1,RMSprop,NeuCMFi0,32,0.0,500,0.8199
0.1,RMSprop,NeuCMFi0,32,0.0,1000,0.8196
0.1,RMSprop,NeuCMFi0,32,0.01,500,0.8024
0.1,RMSprop,NeuCMFi0,32,0.01,1000,0.8222
0.1,RMSprop,NeuCMFi0,32,0.1,500,0.8128
0.1,RMSprop,NeuCMFi0,32,0.1,1000,0.8281
0.1,RMSprop,NeuCMFi0,64,0.0,500,0.8204
0.1,RMSprop,NeuCMFi0,64,0.0,1000,0.8235
0.1,RMSprop,NeuCMFi0,64,0.01,500,0.8302
0.1,RMSprop,NeuCMFi0,64,0.01,1000,0.8162
0.1,RMSprop,NeuCMFi0,64,0.1,500,0.8195
0.1,RMSprop,NeuCMFi0,64,0.1,1000,0.8095
0.1,RMSprop,NeuCMF0w,32,0.0,500,0.8214
0.1,RMSprop,NeuCMF0w,32,0.0,1000,0.8117
0.1,RMSprop,NeuCMF0w,32,0.01,500,0.8054
0.1,RMSprop,NeuCMF0w,32,0.01,1000,0.8422
0.1,RMSprop,NeuCMF0w,32,0.1,500,0.8217
0.1,RMSprop,NeuCMF0w,32,0.1,1000,0.8157
0.1,RMSprop,NeuCMF0w,64,0.0,500,0.8073
0.1,RMSprop,NeuCMF0w,64,0.0,1000,0.8344
0.1,RMSprop,NeuCMF0w,64,0.01,500,0.8141
0.1,RMSprop,NeuCMF0w,64,0.01,1000,0.8162
0.1,RMSprop,NeuCMF0w,64,0.1,500,0.8125
0.1,RMSprop,NeuCMF0w,64,0.1,1000,0.8096
0.1,RMSprop,NeuCMFw0,32,0.0,500,0.8244
0.1,RMSprop,NeuCMFw0,32,0.0,1000,0.8326
0.1,RMSprop,NeuCMFw0,32,0.01,500,0.792
0.1,RMSprop,NeuCMFw0,32,0.01,1000,0.8254
0.1,RMSprop,NeuCMFw0,32,0.1,500,0.8113
0.1,RMSprop,NeuCMFw0,32,0.1,1000,0.8155
0.1,RMSprop,NeuCMFw0,64,0.0,500,0.8285
0.1,RMSprop,NeuCMFw0,64,0.0,1000,0.8077
0.1,RMSprop,NeuCMFw0,64,0.01,500,0.8166
0.1,RMSprop,NeuCMFw0,64,0.01,1000,0.8361
0.1,RMSprop,NeuCMFw0,64,0.1,500,0.8462
0.1,RMSprop,NeuCMFw0,64,0.1,1000,0.8179
0.01,adam,NeuCMFii,32,0.0,500,0.8171
0.01,adam,NeuCMFii,32,0.0,1000,0.8254
0.01,adam,NeuCMFii,32,0.01,500,0.826
0.01,adam,NeuCMFii,32,0.01,1000,0.8167
0.01,adam,NeuCMFii,32,0.1,500,0.8246
0.01,adam,NeuCMFii,32,0.1,1000,0.8295
0.01,adam,NeuCMFii,64,0.0,500,0.818
0.01,adam,NeuCMFii,64,0.0,1000,0.8125
0.01,adam,NeuCMFii,64,0.01,500,0.8395
0.01,adam,NeuCMFii,64,0.01,1000,0.8301
0.01,adam,NeuCMFii,64,0.1,500,0.8285
0.01,adam,NeuCMFii,64,0.1,1000,0.8146
0.01,adam,NeuCMFww,32,0.0,500,0.8085
0.01,adam,NeuCMFww,32,0.0,1000,0.8177
0.01,adam,NeuCMFww,32,0.01,500,0.8143
0.01,adam,NeuCMFww,32,0.01,1000,0.8242
0.01,adam,NeuCMFww,32,0.1,500,0.8123
0.01,adam,NeuCMFww,32,0.1,1000,0.8223
0.01,adam,NeuCMFww,64,0.0,500,0.8242
0.01,adam,NeuCMFww,64,0.0,1000,0.8194
0.01,adam,NeuCMFww,64,0.01,500,0.8156
0.01,adam,NeuCMFww,64,0.01,1000,0.8087
0.01,adam,NeuCMFww,64,0.1,500,0.822
0.01,adam,NeuCMFww,64,0.1,1000,0.8124
0.01,adam,NeuCMF0i,32,0.0,500,0.8229
0.01,adam,NeuCMF0i,32,0.0,1000,0.8355
0.01,adam,NeuCMF0i,32,0.01,500,0.8245
0.01,adam,NeuCMF0i,32,0.01,1000,0.8201
0.01,adam,NeuCMF0i,32,0.1,500,0.8282
0.01,adam,NeuCMF0i,32,0.1,1000,0.8034
0.01,adam,NeuCMF0i,64,0.0,500,0.8156
0.01,adam,NeuCMF0i,64,0.0,1000,0.8279
0.01,adam,NeuCMF0i,64,0.01,500,0.849
0.01,adam,NeuCMF0i,64,0.01,1000,0.8276
0.01,adam,NeuCMF0i,64,0.1,500,0.8188
0.01,adam,NeuCMF0i,64,0.1,1000,0.8155
0.01,adam,NeuCMFi0,32,0.0,500,0.8204
0.01,adam,NeuCMFi0,32,0.0,1000,0.8173
0.01,adam,NeuCMFi0,32,0.01,500,0.8265
0.01,adam,NeuCMFi0,32,0.01,1000,0.8259
0.01,adam,NeuCMFi0,32,0.1,500,0.84
0.01,adam,NeuCMFi0,32,0.1,1000,0.842
0.01,adam,NeuCMFi0,64,0.0,500,0.8205
0.01,adam,NeuCMFi0,64,0.0,1000,0.8078
0.01,adam,NeuCMFi0,64,0.01,500,0.8239
0.01,adam,NeuCMFi0,64,0.01,1000,0.8182
0.01,adam,NeuCMFi0,64,0.1,500,0.8198
0.01,adam,NeuCMFi0,64,0.1,1000,0.8306
0.01,adam,NeuCMF0w,32,0.0,500,0.8235
0.01,adam,NeuCMF0w,32,0.0,1000,0.8221
0.01,adam,NeuCMF0w,32,0.01,500,0.8088
0.01,adam,NeuCMF0w,32,0.01,1000,0.8254
0.01,adam,NeuCMF0w,32,0.1,500,0.8271
0.01,adam,NeuCMF0w,32,0.1,1000,0.8201
0.01,adam,NeuCMF0w,64,0.0,500,0.8221
0.01,adam,NeuCMF0w,64,0.0,1000,0.8096
0.01,adam,NeuCMF0w,64,0.01,500,0.8234
0.01,adam,NeuCMF0w,64,0.01,1000,0.8123
0.01,adam,NeuCMF0w,64,0.1,500,0.8016
0.01,adam,NeuCMF0w,64,0.1,1000,0.8085
0.01,adam,NeuCMFw0,32,0.0,500,0.8351
0.01,adam,NeuCMFw0,32,0.0,1000,0.8081
0.01,adam,NeuCMFw0,32,0.01,500,0.8417
0.01,adam,NeuCMFw0,32,0.01,1000,0.8136
0.01,adam,NeuCMFw0,32,0.1,500,0.8133
0.01,adam,NeuCMFw0,32,0.1,1000,0.833
0.01,adam,NeuCMFw0,64,0.0,500,0.8124
0.01,adam,NeuCMFw0,64,0.0,1000,0.8165
0.01,adam,NeuCMFw0,64,0.01,500,0.8349
0.01,adam,NeuCMFw0,64,0.01,1000,0.8368
0.01,adam,NeuCMFw0,64,0.1,500,0.8214
0.01,adam,NeuCMFw0,64,0.1,1000,0.8038
0.01,RMSprop,NeuCMFii,32,0.0,500,0.7973
0.01,RMSprop,NeuCMFii,32,0.0,1000,0.8277
0.01,RMSprop,NeuCMFii,32,0.01,500,0.8231
0.01,RMSprop,NeuCMFii,32,0.01,1000,0.8208
