learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
1.0,RMSprop,NeuCMFi0,64,0.01,500,78733.225
1.0,RMSprop,NeuCMFi0,64,0.01,1000,231988.65
1.0,RMSprop,NeuCMFi0,64,0.1,500,51281.2625
1.0,RMSprop,NeuCMFi0,64,0.1,1000,188152.25
1.0,RMSprop,NeuCMFii,32,0.0,500,2645.2531
1.0,RMSprop,NeuCMFii,32,0.0,1000,2088.8688
1.0,RMSprop,NeuCMFii,32,0.01,500,27680.0
1.0,RMSprop,NeuCMFii,32,0.01,1000,368126.4
1.0,RMSprop,NeuCMFii,32,0.1,500,27908.8625
1.0,RMSprop,NeuCMFii,32,0.1,1000,326057.35
1.0,RMSprop,NeuCMFii,64,0.0,500,1849.3709
1.0,RMSprop,NeuCMFii,64,0.0,1000,2625.202
1.0,RMSprop,NeuCMFii,64,0.01,500,28012.1219
1.0,RMSprop,NeuCMFii,64,0.01,1000,10922.1445
1.0,RMSprop,NeuCMFii,64,0.1,500,60824.8062
1.0,RMSprop,NeuCMFii,64,0.1,1000,460615.25
1.0,RMSprop,NeuCMFw0,32,0.0,500,3408.3836
1.0,RMSprop,NeuCMFw0,32,0.0,1000,2636.4799
1.0,RMSprop,NeuCMFw0,32,0.01,500,70121.8438
1.0,RMSprop,NeuCMFw0,32,0.01,1000,160762.3875
1.0,RMSprop,NeuCMFw0,32,0.1,500,34305.35
1.0,RMSprop,NeuCMFw0,32,0.1,1000,189117.175
1.0,RMSprop,NeuCMFw0,64,0.0,500,3727.2094
1.0,RMSprop,NeuCMFw0,64,0.0,1000,3022.8334
1.0,RMSprop,NeuCMFw0,64,0.01,500,135045.6125
1.0,RMSprop,NeuCMFw0,64,0.01,1000,147327.75
1.0,RMSprop,NeuCMFw0,64,0.1,500,59205.6625
1.0,RMSprop,NeuCMFw0,64,0.1,1000,122409.5
1.0,RMSprop,NeuCMFww,32,0.0,500,4222.0684
1.0,RMSprop,NeuCMFww,32,0.0,1000,9540.4188
1.0,RMSprop,NeuCMFww,32,0.01,500,77571.9562
1.0,RMSprop,NeuCMFww,32,0.01,1000,573713.7
1.0,RMSprop,NeuCMFww,32,0.1,500,53274.6062
1.0,RMSprop,NeuCMFww,32,0.1,1000,162467.8
1.0,RMSprop,NeuCMFww,64,0.0,500,5442.7141
1.0,RMSprop,NeuCMFww,64,0.0,1000,3325.2129
1.0,RMSprop,NeuCMFww,64,0.01,500,67809.0
1.0,RMSprop,NeuCMFww,64,0.01,1000,323324.725
1.0,RMSprop,NeuCMFww,64,0.1,500,47441.4938
1.0,RMSprop,NeuCMFww,64,0.1,1000,148347.6
0.1,adam,NeuCMF0i,32,0.0,500,1.3253
0.1,adam,NeuCMF0i,32,0.0,1000,1.797
0.1,adam,NeuCMF0i,32,0.01,500,0.7135
0.1,adam,NeuCMF0i,32,0.01,1000,0.7152
0.1,adam,NeuCMF0i,32,0.1,500,0.7176
0.1,adam,NeuCMF0i,32,0.1,1000,0.7173
0.1,adam,NeuCMF0i,64,0.0,500,2.0516
0.1,adam,NeuCMF0i,64,0.0,1000,1.3797
0.1,adam,NeuCMF0i,64,0.01,500,0.7149
0.1,adam,NeuCMF0i,64,0.01,1000,0.7255
0.1,adam,NeuCMF0i,64,0.1,500,0.7218
0.1,adam,NeuCMF0i,64,0.1,1000,0.7198
0.1,adam,NeuCMF0w,32,0.0,500,1.5408
0.1,adam,NeuCMF0w,32,0.0,1000,2.2876
0.1,adam,NeuCMF0w,32,0.01,500,2.4394
0.1,adam,NeuCMF0w,32,0.01,1000,1.9941
0.1,adam,NeuCMF0w,32,0.1,500,0.7099
0.1,adam,NeuCMF0w,32,0.1,1000,1.3904
0.1,adam,NeuCMF0w,64,0.0,500,0.8439
0.1,adam,NeuCMF0w,64,0.0,1000,2.1977
0.1,adam,NeuCMF0w,64,0.01,500,1.425
0.1,adam,NeuCMF0w,64,0.01,1000,1.9556
0.1,adam,NeuCMF0w,64,0.1,500,0.711
0.1,adam,NeuCMF0w,64,0.1,1000,0.844
0.1,adam,NeuCMFi0,32,0.0,500,0.9967
0.1,adam,NeuCMFi0,32,0.0,1000,1.1835
0.01,adam,NeuCMF0i,32,0.0,500,0.7842
