kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,10,0.001,0.0001,200,0.0001,0.7370035893054732
10,10,0.001,0.0001,200,0.001,0.7762764402957553
10,10,0.001,0.0001,200,0.01,0.881852504881789
10,10,0.001,0.0001,200,0.1,0.9094255534077732
10,10,0.001,0.001,10,0.0001,0.7385108331975241
10,10,0.001,0.001,10,0.001,0.7379362726200958
10,10,0.001,0.001,10,0.01,0.7524818383535451
10,10,0.001,0.001,10,0.1,0.8645775051383944
10,10,0.001,0.001,50,0.0001,0.7380200867995074
10,10,0.001,0.001,50,0.001,0.7401783699810838
10,10,0.001,0.001,50,0.01,0.8297302629806304
10,10,0.001,0.001,50,0.1,0.8928314712385127
10,10,0.001,0.001,100,0.0001,0.7382905763070032
10,10,0.001,0.001,100,0.001,0.7525832195149174
10,10,0.001,0.001,100,0.01,0.8624626118777359
10,10,0.001,0.001,100,0.1,0.8957053255497437
10,10,0.001,0.001,200,0.0001,0.7376418426900959
10,10,0.001,0.001,200,0.001,0.7785966457397242
10,10,0.001,0.001,200,0.01,0.8863303370124146
10,10,0.001,0.001,200,0.1,0.9140218763826438
10,10,0.001,0.01,10,0.0001,0.7371616086629941
10,10,0.001,0.01,10,0.001,0.7376981496099988
10,10,0.001,0.01,10,0.01,0.7532338685497059
10,10,0.001,0.01,10,0.1,0.8663504438919224
10,10,0.001,0.01,50,0.0001,0.737845496120586
10,10,0.001,0.01,50,0.001,0.7408128993866726
10,10,0.001,0.01,50,0.01,0.8294104229790451
10,10,0.001,0.01,50,0.1,0.889601980062335
10,10,0.001,0.01,100,0.0001,0.7366920954743804
10,10,0.001,0.01,100,0.001,0.7516012344772441
10,10,0.001,0.01,100,0.01,0.8626368318123414
10,10,0.001,0.01,100,0.1,0.9101612066836244
10,10,0.001,0.01,200,0.0001,0.7395400391168564
10,10,0.001,0.01,200,0.001,0.7783660208291024
10,10,0.001,0.01,200,0.01,0.8825720572701106
10,10,0.001,0.01,200,0.1,0.9223440145792936
10,10,0.001,0.1,10,0.0001,0.7364501043137671
10,10,0.001,0.1,10,0.001,0.7378727462273197
10,10,0.001,0.1,10,0.01,0.7524562074435984
10,10,0.001,0.1,10,0.1,0.8534281922760334
10,10,0.001,0.1,50,0.0001,0.7378826076587761
10,10,0.001,0.1,50,0.001,0.7404043966180015
10,10,0.001,0.1,50,0.01,0.8213311708376706
10,10,0.001,0.1,50,0.1,0.8688972773311693
10,10,0.001,0.1,100,0.0001,0.7366355683792662
10,10,0.001,0.1,100,0.001,0.7510651899071779
10,10,0.001,0.1,100,0.01,0.8533162158117084
10,10,0.001,0.1,100,0.1,0.8690430903905499
10,10,0.001,0.1,200,0.0001,0.7382436083452754
10,10,0.001,0.1,200,0.001,0.7765152212579446
10,10,0.001,0.1,200,0.01,0.8658794573857781
