kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
27,20,0.0004114224630625,0.0005759188323813,17,0.0001510953877539,0.7474997257005256
51,23,0.000265056420097,0.0004555433940267,21,0.0001354020464094,0.7467087890962963
17,15,0.000303926703058,0.0007200668522123,14,0.0016131646526039,0.7479255011219818
38,19,0.000356127213954,0.0005001292340581,28,0.0001829404013117,0.7460412327857929
65,29,0.0001766206745591,0.0004055435875412,32,0.0001127524287778,0.754063803882093
10,13,0.0002229191123069,0.0002301301017311,20,0.0001503459488929,0.746000040448749
29,25,0.0002713752475653,0.0013542973349892,14,0.0001254687293554,0.7496112904086621
45,18,0.0004707627830758,0.0003348968126454,41,0.0049430412616274,0.784173953664397
81,38,0.0001546827438685,0.000909428457047,23,0.0002151041802383,0.7474892557121217
21,22,0.0003329021088606,0.0015750979799555,10,0.0001598728934304,0.7441023101175184
20,22,0.0003214865849731,0.0015594100237892,11,0.0001625381575959,0.7454364285405681
32,13,0.0003929027822295,0.0017767449098886,10,0.0001408996498883,0.7443650517624626
36,13,0.0003955540863737,0.0016840708757166,10,0.0001280760466428,0.7455761046373985
51,18,0.0002458843737165,0.002171423974144,17,0.0001134606013444,0.7465453285478704
30,10,0.000201294204209,0.0018889866974385,18,0.000182036009281,0.7455484481173663
41,16,0.0002904170275424,0.0025474387444387,10,0.0001453202928212,0.7465988987550022
10,76,0.0003482469302231,0.0006077344683539,27,0.000199584303075,0.7473252451829367
21,31,0.0002238214453459,0.0013083126825222,16,0.0002575357183161,0.7448386925013726
19,30,0.0002264157820238,0.0015068390981585,14,0.0002365029007555,0.746326139206162
59,27,0.0001831788747663,0.0005200388861291,20,0.0002803735648502,0.7490863909139782
27,20,0.0002611282533916,0.0013221496522462,54,0.0001629780530231,0.7471313525168514
37,13,0.0003080395092382,0.001702275612166,23,0.0001424190221975,0.745690200363395
19,17,0.0002160263622639,0.0019409078264807,17,0.0001091132703347,0.7450139146545559
19,23,0.0002175135173953,0.0020825753146844,16,0.0001021316349556,0.7449876551043877
18,24,0.000160365881707,0.0020509204454044,10,0.000102231917594,0.7456672362900576
20,31,0.0002090133544059,0.0023143852624991,17,0.0001137200921557,0.7462444975147725
10,16,0.0001798153862046,0.0017965185413244,14,0.0001001165490675,0.7475399517937708
406,64,0.000118597216319,0.0029156115311151,18,0.0001177089132251,0.7653388655453521
46,25,0.000231602460344,0.002021196506581,14,0.0001307927926695,0.7463686922915975
25,10,0.0010089441114502,0.0026094787834072,21,0.0001704918520753,0.7469527825008598
33,20,0.0002636975161508,0.0018382581761898,10,0.0005158645860986,0.7482918891063508
26,21,0.0002062662070711,0.0015270909608781,26,0.00012658967991,0.7477734755401576
41,16,0.0002328737034604,0.0007115669844695,18,0.0001524428581196,0.7450134839437565
42,16,0.0001471240962587,0.0007322076614922,16,0.0001516791296575,0.7473291907700449
51,26,0.0002388965633646,0.0012228385992893,20,0.000138057895702,0.7459405325680614
20,13,0.0016093609938297,0.0005735540700191,14,0.000115916896975,0.747355650655058
37,17,0.0001782673628241,0.0008094847548523,23,0.0001876231437135,0.7465804720592002
57,34,0.000204329342949,0.0006739845607658,18,0.0006007300250845,0.7478076435138086
177,22,0.0002547873197411,0.0010717914684141,13,0.0001552160834113,0.755345427695104
10,10,0.0001611466635589,0.0021529160092814,10,0.0001008680959723,0.7463947250058938
31,19,0.0026843202706345,0.0004642313590091,27,0.0002057438615509,0.7512362949423415
25,15,0.0002883535782159,0.0005315670272238,18,0.0001753246709676,0.7448618310734447
19,14,0.0003261834116,0.0006101290248444,17,0.0001716201305006,0.7463501920099977
42,16,0.0002835871680821,0.0005377222638764,22,0.0001298304689894,0.7443993016298274
42,27,0.0002899621197092,0.0006885123042806,22,0.000134186674709,0.7443296240324643
49,27,0.0002887031234752,0.0005330783285839,22,0.0001311534284063,0.7490637207379193
34,23,0.0004056046027019,0.0006167416657198,194,0.000131585480624,0.7452386413680243
43,199,0.0003546129767288,0.0004313749456317,47,0.0001833294975044,0.7544215386741592
65,30,0.0002803554310477,0.0005451389313301,125,0.0008120926291293,0.7615157168130079
27,22,0.0003121535552195,0.0003946594921633,21,0.0001582736740148,0.7461426484662875
36,13,0.0002374593743559,0.0007187770094829,14,0.0001432756715095,0.7470201815124236
47,104,0.0002592598479765,0.0008108538158554,23,0.0001208573186323,0.7496162367458407
42,16,0.0001939589768096,0.0006525773485697,19,0.000158773545454,0.7462670220298037
27,10,0.0002339589013779,0.0005126556915954,84,0.0001453546447501,0.7473772644159765
55,26,0.000345240573412,0.0007071885418826,63,0.0003927423688112,0.7447739673170642
71,26,0.0003878069110722,0.0009102425560636,55,0.0002561173402663,0.7462677802063997
55,33,0.0003275596104302,0.0005717415607371,60,0.0003391876314194,0.7451167234118884
24,21,0.006235848054959,0.000475461224942,66,0.0001874002692034,0.7656353312091322
10,29,0.0004963074972228,0.0007641998617839,51,0.0010058708983827,0.7500653944428275
33,25,0.0002839158662472,0.000657421223388,13,0.000410541181806,0.7463457172389759
41,18,0.0002209183168777,0.0001675161869867,17,0.0001255213968648,0.7478988240710633
56,14,0.0003535981905443,0.0007498488655039,10,0.0001659332197932,0.7433337959485045
56,14,0.0003544352919943,0.0008155392697129,13,0.0002251508675572,0.7462416647497276
19,20,0.0004263553671913,0.0006037723756294,10,0.0007058470767943,0.7460013334463818
51,13,0.000310881352925,0.0005108878874488,10,0.0001704712620528,0.7501090596133586
69,23,0.0003694137847939,0.0009588225677276,59,0.0001339978163747,0.7426610817582101
65,24,0.0003874379743939,0.0009608515209935,62,0.0001333980218549,0.7469267582767156
70,36,0.000437715301321,0.0010807742264194,15,0.0001095977689182,0.7491229790370281
60,29,0.0003474819403131,0.0008669231083494,24,0.0001218424022036,0.7444851401143369
73,31,0.0003344090657607,0.0009224258459305,30,0.0001452520117518,0.7461574389870371
55,26,0.00049774137891,0.0013771155136708,24,0.00012063428488,0.7471027068723158
33,20,0.0003672651881665,0.0007392935652772,20,0.0001266290380154,0.7479993458896141
61,28,0.0002818951960911,0.0012071772477702,15,0.0001604824012727,0.7488856444169691
85,40,0.0005583230978819,0.0008327003822352,25,0.0001133985029762,0.7457199277710397
49,23,0.000307602559924,0.0006551549526921,44,0.0001412416803833,0.746652678855609
41,18,0.0004329020148907,0.0009649898631106,21,0.0001001992853421,0.7458669348357885
26,31,0.0285242972578045,0.021601755047469,13,0.0001788600405131,0.8058251516200057
17,21,0.0002613388078763,0.001650487647815,34,0.0004463383369358,0.7461098894091817
34,27,0.0003624460259257,0.0002351058592395,16,0.0001350414732732,0.7437812311038369
37,36,0.0003726406118009,0.0002142115978816,10,0.0001670542470299,0.7452046411558458
29,28,0.0003338157307394,0.0006754951899292,16,0.0001382487543991,0.7462716720289866
