learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
1e-05,adam,64,1e-05,500,3.4887115955352783,12.289812088012695
1e-05,adam,64,1e-05,500,2.1723554134368896,5.191164016723633
1e-05,adam,64,1e-05,1000,4.87708044052124,23.787914276123047
1e-05,adam,64,1e-05,1000,4.820878028869629,23.250104904174805
1e-05,adam,64,1e-05,1000,3.944088935852051,15.66637897491455
1e-05,adam,64,1e-05,1000,3.7331972122192383,13.990071296691896
1e-05,adam,64,1e-05,1000,2.445318937301636,6.391791343688965
1e-05,adam,64,1e-05,2000,4.956333160400391,24.566368103027344
1e-05,adam,64,1e-05,2000,4.926647663116455,24.2734432220459
1e-05,adam,64,1e-05,2000,4.030656337738037,16.353666305541992
1e-05,adam,64,1e-05,2000,3.920193910598755,15.395209312438965
1e-05,adam,64,1e-05,2000,2.5211706161499023,6.764739513397217
1e-05,adam,64,1e-05,4000,4.968675136566162,24.68867874145508
1e-05,adam,64,1e-05,4000,4.95006799697876,24.50463485717773
1e-05,adam,64,1e-05,4000,4.080134391784668,16.752073287963867
1e-05,adam,64,1e-05,4000,3.9421498775482178,15.567781448364258
1e-05,adam,64,1e-05,4000,2.574789524078369,7.037243843078613
1e-05,adam,64,0.0001,500,4.428619861602783,19.778785705566406
1e-05,adam,64,0.0001,500,4.473647117614746,20.13919258117676
1e-05,adam,64,0.0001,500,3.743241548538208,14.165410041809082
1e-05,adam,64,0.0001,500,3.4743895530700684,12.22426986694336
1e-05,adam,64,0.0001,500,2.039681434631348,4.69074821472168
1e-05,adam,64,0.0001,1000,4.8379011154174805,23.412446975708008
1e-05,adam,64,0.0001,1000,4.846935749053955,23.4990291595459
1e-05,adam,64,0.0001,1000,3.8917155265808105,15.267434120178224
1e-05,adam,64,0.0001,1000,3.803740978240967,14.501202583312988
1e-05,adam,64,0.0001,1000,2.437785387039185,6.356703281402588
1e-05,adam,64,0.0001,2000,4.892351150512695,23.939796447753903
1e-05,adam,64,0.0001,2000,4.899548530578613,24.009090423583984
1e-05,adam,64,0.0001,2000,4.027815818786621,16.32958221435547
1e-05,adam,64,0.0001,2000,3.9090425968170166,15.30777072906494
1e-05,adam,64,0.0001,2000,2.521808624267578,6.767904758453369
1e-05,adam,64,0.0001,4000,4.976993560791016,24.771453857421875
1e-05,adam,64,0.0001,4000,4.979598045349121,24.79757308959961
1e-05,adam,64,0.0001,4000,4.089221477508545,16.826841354370117
1e-05,adam,64,0.0001,4000,3.924600124359131,15.429898262023926
1e-05,adam,64,0.0001,4000,2.5736842155456543,7.030775547027588
1e-05,adam,64,0.001,500,4.494134902954102,20.317848205566406
1e-05,adam,64,0.001,500,4.5152130126953125,20.47610855102539
1e-05,adam,64,0.001,500,3.5154850482940674,12.676653861999512
1e-05,adam,64,0.001,500,3.370201349258423,11.57873249053955
1e-05,adam,64,0.001,500,2.0089290142059326,4.586287021636963
1e-05,adam,64,0.001,1000,4.77838659286499,22.851661682128903
1e-05,adam,64,0.001,1000,4.826610088348389,23.305343627929688
1e-05,adam,64,0.001,1000,3.9422552585601807,15.65392017364502
1e-05,adam,64,0.001,1000,3.806675672531128,14.524890899658203
1e-05,adam,64,0.001,1000,2.457572221755981,6.449512958526611
1e-05,adam,64,0.001,2000,4.929636001586914,24.302743911743164
1e-05,adam,64,0.001,2000,4.920783519744873,24.21599769592285
1e-05,adam,64,0.001,2000,4.055181503295898,16.548242568969727
1e-05,adam,64,0.001,2000,3.888432741165161,15.148594856262209
1e-05,adam,64,0.001,2000,2.5137288570404053,6.72779655456543
1e-05,adam,64,0.001,4000,4.962771892547607,24.63010597229004
1e-05,adam,64,0.001,4000,4.97447395324707,24.746368408203125
1e-05,adam,64,0.001,4000,4.074729919433594,16.70817756652832
1e-05,adam,64,0.001,4000,3.930492877960205,15.476067543029783
1e-05,adam,64,0.001,4000,2.5561885833740234,6.941948413848877
1e-05,adam,64,0.01,500,4.33357572555542,19.06011009216309
1e-05,adam,64,0.01,500,4.60268497467041,21.23246192932129
1e-05,adam,64,0.01,500,3.733762264251709,14.089896202087402
1e-05,adam,64,0.01,500,3.500730514526367,12.368744850158691
1e-05,adam,64,0.01,500,2.1985228061676025,5.283543586730957
1e-05,adam,64,0.01,1000,4.871147155761719,23.730342864990234
1e-05,adam,64,0.01,1000,4.830339431762695,23.339881896972656
1e-05,adam,64,0.01,1000,3.980137348175049,15.949331283569336
1e-05,adam,64,0.01,1000,3.7818329334259033,14.33952808380127
1e-05,adam,64,0.01,1000,2.436168909072876,6.3469014167785645
1e-05,adam,64,0.01,2000,4.925647258758545,24.263561248779297
1e-05,adam,64,0.01,2000,4.929429054260254,24.300704956054688
1e-05,adam,64,0.01,2000,4.013642311096191,16.217933654785156
1e-05,adam,64,0.01,2000,3.9061532020568848,15.285970687866213
1e-05,adam,64,0.01,2000,2.541918992996216,6.869868278503418
1e-05,adam,64,0.01,4000,4.969223976135254,24.69417762756348
1e-05,adam,64,0.01,4000,4.971325874328613,24.71537208557129
1e-05,adam,64,0.01,4000,4.066061973571777,16.638248443603516
1e-05,adam,64,0.01,4000,3.929375648498535,15.467257499694824
1e-05,adam,64,0.01,4000,2.5513291358947754,6.917087554931641
1e-05,adam,64,0.1,500,4.449052810668945,19.9426383972168
1e-05,adam,64,0.1,500,4.628595352172852,21.46822166442871
1e-05,adam,64,0.1,500,3.5414376258850098,12.808221817016602
1e-05,adam,64,0.1,500,3.469011068344116,12.190176963806152
1e-05,adam,64,0.1,500,2.045850276947021,4.706516742706299
1e-05,adam,64,0.1,1000,4.833828449249268,23.373170852661133
1e-05,adam,64,0.1,1000,4.847322940826416,23.50164604187012
1e-05,adam,64,0.1,1000,3.915704250335693,15.4507417678833
1e-05,adam,64,0.1,1000,3.838857650756836,14.765020370483398
1e-05,adam,64,0.1,1000,2.4764623641967773,6.5412421226501465
1e-05,adam,64,0.1,2000,4.906466484069824,24.07673072814941
1e-05,adam,64,0.1,2000,4.9214067459106445,24.22211456298828
1e-05,adam,64,0.1,2000,4.07472562789917,16.70802116394043
1e-05,adam,64,0.1,2000,3.911743640899658,15.328985214233398
1e-05,adam,64,0.1,2000,2.550236940383911,6.911895275115967
1e-05,adam,64,0.1,4000,4.974018096923828,24.741840362548828
1e-05,adam,64,0.1,4000,4.976744174957275,24.76891326904297
1e-05,adam,64,0.1,4000,4.071159362792969,16.67934799194336
1e-05,adam,64,0.1,4000,3.943718671798706,15.580491065979004
1e-05,adam,64,0.1,4000,2.550238132476806,6.912970542907715
1e-05,adam,128,1e-05,500,4.319360256195068,18.854751586914062
1e-05,adam,128,1e-05,500,4.456475257873535,19.94767189025879
1e-05,adam,128,1e-05,500,3.328386068344116,11.480477333068848
1e-05,adam,128,1e-05,500,3.1698906421661377,10.3631010055542
1e-05,adam,128,1e-05,500,1.8788695335388184,4.08466100692749
1e-05,adam,128,1e-05,1000,4.7558135986328125,22.632795333862305
