learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.01,adam,FM,64,0.01,1000,0.5506
0.01,adam,FM,64,0.1,500,0.6731
0.01,adam,FM,64,0.1,1000,0.6718
0.01,adam,DeepFM,32,0.0,500,0.5135
0.01,adam,DeepFM,32,0.0,1000,0.4893
0.01,adam,DeepFM,32,0.01,500,0.5589
0.01,adam,DeepFM,32,0.01,1000,0.5506
0.01,adam,DeepFM,32,0.1,500,0.6746
0.01,adam,DeepFM,32,0.1,1000,0.6726
0.01,adam,DeepFM,64,0.0,500,0.5606
0.01,adam,DeepFM,64,0.0,1000,0.506
0.01,adam,DeepFM,64,0.01,500,0.5615
0.01,adam,DeepFM,64,0.01,1000,0.5494
0.01,adam,DeepFM,64,0.1,500,0.6735
0.01,adam,DeepFM,64,0.1,1000,0.6728
0.01,RMSprop,FM,32,0.0,500,0.5297
0.01,RMSprop,FM,32,0.0,1000,0.5155
0.01,RMSprop,FM,32,0.01,500,0.57
0.01,RMSprop,FM,32,0.01,1000,0.5689
0.01,RMSprop,FM,32,0.1,500,0.6768
0.01,RMSprop,FM,32,0.1,1000,0.6749
0.01,RMSprop,FM,64,0.0,500,0.8165
0.01,RMSprop,FM,64,0.0,1000,0.612
0.01,RMSprop,FM,64,0.01,500,0.5694
0.01,RMSprop,FM,64,0.01,1000,0.564
0.01,RMSprop,FM,64,0.1,500,0.676
0.01,RMSprop,FM,64,0.1,1000,0.671
0.01,RMSprop,DeepFM,32,0.0,500,0.5415
0.01,RMSprop,DeepFM,32,0.0,1000,0.5191
0.01,RMSprop,DeepFM,32,0.01,500,0.5837
0.01,RMSprop,DeepFM,32,0.01,1000,0.5758
0.01,RMSprop,DeepFM,32,0.1,500,0.6782
0.01,RMSprop,DeepFM,32,0.1,1000,0.6762
0.01,RMSprop,DeepFM,64,0.0,500,1.0136
0.01,RMSprop,DeepFM,64,0.0,1000,0.9714
0.01,RMSprop,DeepFM,64,0.01,500,0.5816
0.01,RMSprop,DeepFM,64,0.01,1000,0.6293
0.01,RMSprop,DeepFM,64,0.1,500,0.6738
0.01,RMSprop,DeepFM,64,0.1,1000,0.6751
0.001,adam,FM,32,0.0,500,0.4855
0.001,adam,FM,32,0.0,1000,0.4865
0.001,adam,FM,32,0.01,500,0.5398
0.001,adam,FM,32,0.01,1000,0.5397
0.001,adam,FM,32,0.1,500,0.6691
0.001,adam,FM,32,0.1,1000,0.6683
0.001,adam,FM,64,0.0,500,0.4836
0.001,adam,FM,64,0.0,1000,0.4846
0.001,adam,FM,64,0.01,500,0.5397
0.001,adam,FM,64,0.01,1000,0.5403
0.001,adam,FM,64,0.1,500,0.6686
0.001,adam,FM,64,0.1,1000,0.6676
0.001,adam,DeepFM,32,0.0,500,0.4818
0.001,adam,DeepFM,32,0.0,1000,0.4853
0.001,adam,DeepFM,32,0.01,500,0.4979
0.001,adam,DeepFM,32,0.01,1000,0.4968
0.001,adam,DeepFM,32,0.1,500,0.6694
0.001,adam,DeepFM,32,0.1,1000,0.6688
0.001,adam,DeepFM,64,0.0,500,0.4773
0.001,adam,DeepFM,64,0.0,1000,0.4821
0.001,adam,DeepFM,64,0.01,500,0.4966
0.001,adam,DeepFM,64,0.01,1000,0.4985
0.001,adam,DeepFM,64,0.1,500,0.6697
0.001,adam,DeepFM,64,0.1,1000,0.6688
0.001,RMSprop,FM,32,0.0,500,0.4821
0.001,RMSprop,FM,32,0.0,1000,0.4815
0.001,RMSprop,FM,32,0.01,500,0.5409
0.001,RMSprop,FM,32,0.01,1000,0.5407
0.001,RMSprop,FM,32,0.1,500,0.6697
0.001,RMSprop,FM,32,0.1,1000,0.6685
0.001,RMSprop,FM,64,0.0,500,0.4773
0.001,RMSprop,FM,64,0.0,1000,0.4768
0.001,RMSprop,FM,64,0.01,500,0.5404
0.001,RMSprop,FM,64,0.01,1000,0.5422
