learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.001,adam,128,0.1,1000,0.6027581691741943,0.5910381078720093
0.001,adam,128,0.1,1000,0.5893828868865967,0.5713220238685608
0.001,adam,128,0.1,1000,0.5958710312843323,0.5820703506469727
0.001,adam,128,0.1,1000,0.5907068252563477,0.5752889513969421
0.001,adam,128,0.1,1000,0.6035032868385315,0.5953241586685181
0.001,RMSprop,32,0.01,500,0.6052666306495667,0.5917854309082031
0.001,RMSprop,32,0.01,500,0.5914308428764343,0.5683888792991638
0.001,RMSprop,32,0.01,500,0.6001479029655457,0.5841795206069946
0.001,RMSprop,32,0.01,500,0.5923343896865845,0.5749104619026184
0.001,RMSprop,32,0.01,500,0.5999985933303833,0.5884522795677185
0.001,RMSprop,32,0.01,1000,0.6042981743812561,0.5902678370475769
0.001,RMSprop,32,0.01,1000,0.5924871563911438,0.5707205533981323
0.001,RMSprop,32,0.01,1000,0.6036186814308167,0.5853155255317688
0.001,RMSprop,32,0.01,1000,0.5957731008529663,0.5776604413986206
0.001,RMSprop,32,0.01,1000,0.6014231443405151,0.5905867218971252
0.001,RMSprop,32,0.1,500,0.6041843295097351,0.5911630392074585
0.001,RMSprop,32,0.1,500,0.589344322681427,0.5683035850524902
0.001,RMSprop,32,0.1,500,0.601028561592102,0.5837741494178772
0.001,RMSprop,32,0.1,500,0.5920866131782532,0.5753293037414551
0.001,RMSprop,32,0.1,500,0.6020072102546692,0.5912596583366394
0.001,RMSprop,32,0.1,1000,0.6058380007743835,0.5956381559371948
0.001,RMSprop,32,0.1,1000,0.5923077464103699,0.5699533224105835
0.001,RMSprop,32,0.1,1000,0.6058129072189331,0.5896531343460083
0.001,RMSprop,32,0.1,1000,0.5961779356002808,0.5765017867088318
0.001,RMSprop,32,0.1,1000,0.6035022735595703,0.5916674733161926
0.001,RMSprop,128,0.01,500,0.5994157195091248,0.5852643251419067
0.001,RMSprop,128,0.01,500,0.5912234783172607,0.5710070729255676
0.001,RMSprop,128,0.01,500,0.5987653732299805,0.5808354020118713
0.001,RMSprop,128,0.01,500,0.5900416374206543,0.569748044013977
0.001,RMSprop,128,0.01,500,0.5985984206199646,0.5860323905944824
0.001,RMSprop,128,0.01,1000,0.6036949753761292,0.5871608853340149
0.001,RMSprop,128,0.01,1000,0.5881022214889526,0.5658015012741089
0.001,RMSprop,128,0.01,1000,0.5974809527397156,0.5799264907836914
0.001,RMSprop,128,0.01,1000,0.5920409560203552,0.5746886730194092
0.001,RMSprop,128,0.01,1000,0.5990656018257141,0.5852321982383728
0.001,RMSprop,128,0.1,500,0.6035545468330383,0.5871190428733826
0.001,RMSprop,128,0.1,500,0.592877984046936,0.5717884302139282
0.001,RMSprop,128,0.1,500,0.596410870552063,0.5804051756858826
0.001,RMSprop,128,0.1,500,0.590481698513031,0.5716602206230164
0.001,RMSprop,128,0.1,500,0.5972484350204468,0.5850825905799866
0.001,RMSprop,128,0.1,1000,0.6041415333747864,0.5873469114303589
0.001,RMSprop,128,0.1,1000,0.5919255614280701,0.5682845711708069
0.001,RMSprop,128,0.1,1000,0.6010696291923523,0.5804445743560791
0.001,RMSprop,128,0.1,1000,0.5911188125610352,0.5731320381164551
0.001,RMSprop,128,0.1,1000,0.6037085652351379,0.5888686776161194
0.01,adam,32,0.01,500,0.6043541431427002,0.5931933522224426
0.01,adam,32,0.01,500,0.5914466977119446,0.5731946229934692
0.01,adam,32,0.01,500,0.6014136672019958,0.5868189334869385
0.01,adam,32,0.01,500,0.5953118801116943,0.5792996883392334
0.01,adam,32,0.01,500,0.5994361639022827,0.5903018116950989
0.01,adam,32,0.01,1000,0.6018901467323303,0.5933018922805786
0.01,adam,32,0.01,1000,0.5880897045135498,0.5713029503822327
0.01,adam,32,0.01,1000,0.600145161151886,0.5886135697364807
0.01,adam,32,0.01,1000,0.5920707583427429,0.5782053470611572
0.01,adam,32,0.01,1000,0.6019917130470276,0.5954128503799438
0.01,adam,32,0.1,500,0.6114615201950073,0.6060402393341064
0.01,adam,32,0.1,500,0.5927370190620422,0.5750218033790588
0.01,adam,32,0.1,500,0.5996452569961548,0.5857766270637512
0.01,adam,32,0.1,500,0.5922525525093079,0.5774320960044861
0.01,adam,32,0.1,500,0.5982524752616882,0.5873916149139404
0.01,adam,32,0.1,1000,0.6028677821159363,0.5902396440505981
0.01,adam,32,0.1,1000,0.5881200432777405,0.571060299873352
0.01,adam,32,0.1,1000,0.5985934734344482,0.5851142406463623
0.01,adam,32,0.1,1000,0.5924249291419983,0.5801724195480347
0.01,adam,32,0.1,1000,0.5972187519073486,0.5901623964309692
0.01,adam,128,0.01,500,0.6085762977600098,0.5990421772003174
0.01,adam,128,0.01,500,0.5953816771507263,0.580669641494751
0.01,adam,128,0.01,500,0.601173460483551,0.5889355540275574
0.01,adam,128,0.01,500,0.5964509844779968,0.5832375884056091
0.01,adam,128,0.01,500,0.6047266721725464,0.596746563911438
0.01,adam,128,0.01,1000,0.6034820079803467,0.5963584780693054
0.01,adam,128,0.01,1000,0.587898850440979,0.5702114701271057
0.01,adam,128,0.01,1000,0.6000731587409973,0.5869814157485962
0.01,adam,128,0.01,1000,0.5940027236938477,0.5809932351112366
0.01,adam,128,0.01,1000,0.6000712513923645,0.5934457182884216
0.01,adam,128,0.1,500,0.6076676845550537,0.5993117094039917
0.01,adam,128,0.1,500,0.5940116047859192,0.5753369927406311
0.01,adam,128,0.1,500,0.6016923189163208,0.5872163772583008
0.01,adam,128,0.1,500,0.5968786478042603,0.5823070406913757
0.01,adam,128,0.1,500,0.6060500741004944,0.5986119508743286
0.01,adam,128,0.1,1000,0.6046385765075684,0.5938103795051575
0.01,adam,128,0.1,1000,0.5880678296089172,0.5763469338417053
0.01,adam,128,0.1,1000,0.5987598896026611,0.584372341632843
0.01,adam,128,0.1,1000,0.5949268937110901,0.5804553031921387
0.01,adam,128,0.1,1000,0.6077519059181213,0.5976754426956177
0.01,RMSprop,32,0.01,500,0.6025531888008118,0.591189980506897
0.01,RMSprop,32,0.01,500,0.5876539945602417,0.572409987449646
0.01,RMSprop,32,0.01,500,0.5987759828567505,0.5803159475326538
0.01,RMSprop,32,0.01,500,0.5915079712867737,0.5727427005767822
0.01,RMSprop,32,0.01,500,0.6008704304695129,0.5869870185852051
0.01,RMSprop,32,0.01,1000,0.6045154929161072,0.5962845087051392
0.01,RMSprop,32,0.01,1000,0.591239869594574,0.569675862789154
0.01,RMSprop,32,0.01,1000,0.597424328327179,0.5842319130897522
0.01,RMSprop,32,0.01,1000,0.5927262306213379,0.575774073600769
0.01,RMSprop,32,0.01,1000,0.5980211496353149,0.5861102342605591
0.01,RMSprop,32,0.1,500,0.602797269821167,0.5901448726654053
0.01,RMSprop,32,0.1,500,0.5884230136871338,0.5680546760559082
0.01,RMSprop,32,0.1,500,0.5966487526893616,0.581217885017395
0.01,RMSprop,32,0.1,500,0.5959816575050354,0.5769338011741638
0.01,RMSprop,32,0.1,500,0.6143828630447388,0.6065551042556763
0.01,RMSprop,32,0.1,1000,0.6016778349876404,0.5916890501976013
0.01,RMSprop,32,0.1,1000,0.5912215113639832,0.5699974298477173
0.01,RMSprop,32,0.1,1000,0.600376546382904,0.5822734832763672
0.01,RMSprop,32,0.1,1000,0.5939671397209167,0.580608606338501
0.01,RMSprop,32,0.1,1000,0.5999429225921631,0.5880641341209412
0.01,RMSprop,128,0.01,500,0.6116472482681274,0.603056788444519
0.01,RMSprop,128,0.01,500,0.5909388661384583,0.5713715553283691
0.01,RMSprop,128,0.01,500,0.6008731126785278,0.583410382270813
0.01,RMSprop,128,0.01,500,0.597480833530426,0.5808367133140564
0.01,RMSprop,128,0.01,500,0.6088318824768066,0.5947830677032471
0.01,RMSprop,128,0.01,1000,0.6160683035850525,0.6013795137405396
0.01,RMSprop,128,0.01,1000,0.5890138745307922,0.5668676495552063
0.01,RMSprop,128,0.01,1000,0.5963762998580933,0.5797968506813049
0.01,RMSprop,128,0.01,1000,0.5904097557067871,0.5809546709060669
0.01,RMSprop,128,0.01,1000,0.5960590243339539,0.5862770676612854
